vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti_x,jawatan_kabinet,jawatan_parlimen,gambar,parti_y
1,P095,Johor,Kluang Utara,Tuan,Lee San Choon,,male,chinese,,,,,Perikatan - MCA
1,P058,Perak,Tanjong Malim,Tuan,Lee Seck Fun,,male,chinese,,,,,Perikatan - MCA
1,P076,Selangor,Sepang,Tuan,Lee Siok Yew,,male,chinese,,,,,Perikatan - MCA
1,P053,Perak,Kampar,Tuan,Leong Kee Nyean,,male,chinese,,,,,Perikatan - MCA
1,P006,Kedah,Alor Setar,Tuan,Lim Joo Kong,,male,chinese,,,,,Perikatan - MCA
1,P037,Pulau Pinang,Dato' Keramat,Tuan,Lim Kean Siew,,male,chinese,,,,,BS - Buruh
1,P043,Perak,Larut Selatan,Tuan,Lim Swee Aun,,male,chinese,,,,,Perikatan - MCA
1,P068,Selangor,Rawang,Tuan,Liu Yoong Peng,,male,chinese,,,,,BS - Buruh
1,P082,Negeri Sembilan,Port Dickson,Tuan,T. Mahima Singh,,male,indian,,,,,Perikatan - MIC
1,P074,Selangor,Klang,Tuan,V. Manickavasagam,,male,indian,,,,,Perikatan - MIC
1,P083,Negeri Sembilan,Jelebu,Tuan,Mohamed Bin Ujang,,male,bumiputera,,,,,Perikatan - UMNO
1,P054,Perak,Hilir Perak,Tuan,Mohamed Abbas Bin Ahmad,,male,bumiputera,,,,,Perikatan - UMNO
1,P022,Kelantan,Pasir Puteh,Tuan,Mohamed Asri Bin Haji Muda,,male,bumiputera,,,,,PAS
1,P065,Selangor,Kuala Selangor,Tuan,Mohamed Dahari Bin Haji Mohd. Ali,,male,bumiputera,,,,,Perikatan - UMNO
1,P039,Perak,Ulu Perak,Tuan,Mohamed Nor Bin Mohd. Dahan,,male,bumiputera,,,,,Perikatan - UMNO
1,P021,Kelantan,Pasir Mas Hulu,Dato',Mohamed Hanifah Bin Haji Abdul Ghani,,male,bumiputera,,,,,PAS
1,P010,Kedah,Jerai,Tuan,Mohamed Ismail Bin Mohd. Yusof,,male,bumiputera,,,,,Perikatan - UMNO
1,P064,Pahang,Lipis,Tuan,Mohamed Sulong Bin Mohd. Ali,,male,bumiputera,,,,,Perikatan - UMNO
1,P063,Pahang,Temerloh,Tuan,Mohamed Yusof Bin Mahmud,,male,bumiputera,,,,,Perikatan - UMNO
1,P002,Perlis,Perlis Selatan,Tuan Haji,Mokhtar Bin Haji Ismail,,male,bumiputera,,,,,Perikatan - UMNO
1,P017,Kelantan,Pasir Mas Hilir,Tuan,Nik Man Bin Nik Mohamed,,male,bumiputera,,,,,PAS
1,P066,Selangor,Batu,Tuan,Ng Ann Teck,,male,chinese,,,,,BS - Buruh
1,P027,Terengganu,Kuala Terengganu Selatan,Dato',Onn Bin Jaafar,,male,bumiputera,,,,,Negara
1,P023,Kelantan,Tanah Merah,Tuan,Othman Bin Abdullah,,male,bumiputera,,,,,PAS
1,P001,Perlis,Perlis Utara,Tuan,Othman Bin Abdullah,,male,bumiputera,,,,,Perikatan - UMNO
1,P084,Negeri Sembilan,Seremban Barat,Tuan,Quek Kai Dong,,male,chinese,,,,,Bebas
1,P081,Negeri Sembilan,Rembau,Tuan Haji,Redza Bin Haji Mohd. Said,,male,bumiputera,,,,,Perikatan - UMNO
1,P091,Johor,Muar Pantai,Tuan,Seah Teng Ngiab,,male,chinese,,,,,Perikatan - MCA
1,P050,Perak,Ipoh,Tuan,D.R Seenivasagam,,male,indian,,,,,PPP
1,P051,Perak,Menglembu,Tuan,S.P Seenivasagam,,male,indian,,,,,PPP
1,P094,Johor,Batu Pahat Dalam,Tuan,Syed Esa Bin Alwee,,male,bumiputera,,,,,Perikatan - UMNO
1,P077,Selangor,Sabak Bernam,Tuan,Syed Hashim Bin Syed Ajam,,male,bumiputera,,,,,Perikatan - UMNO
1,P096,Johor,Johor Tenggara,Tuan,Syed Ja'afar Bin Hasan Albar,,male,bumiputera,,,,,Perikatan - UMNO
1,P042,Perak,Larut Utara,Tuan,Tajudin Bin Ali,,male,bumiputera,,,,,Perikatan - UMNO
1,P031,Pulau Pinang,Bagan,Tuan,Tan Cheng Bee,,male,chinese,,,,,Perikatan - MCA
1,P086,Melaka,Bandar Melaka,Tuan,Tan Kee Gak,,male,chinese,,,,,Malaya
1,P036,Pulau Pinang,Tanjong,Tuan,Tan Phock Kin,,male,chinese,,,,,BS - Buruh
1,P014,Kedah,Kulim,Tuan,Tan Tye Chek,,male,chinese,,,,,Perikatan - MCA
1,P024,Kelantan,Ulu Kelantan,Tengku,Indra Petra Bin Sultan Ibrahim,,male,bumiputera,,,,,Perikatan - UMNO
1,P090,Johor,Segamat Selatan,Dato',Teoh Chze Chong,,male,chinese,,,,,Perikatan - MCA
1,P033,Pulau Pinang,Seberang Selatan,Tuan,V.Veerappen,,male,indian,,,,,BS - Buruh
1,P016,Kelantan,Kelantan Hilir,Tuan,Wan Mustapha Bin Haji Ali,,male,bumiputera,,,,,PAS
1,P008,Kedah,Kota Star Selatan,Tuan,Wan Sulaiman Bin Wan Tam,,male,bumiputera,,,,,Perikatan - UMNO
1,P029,Terengganu,Kemaman,Tuan,Wan Yahya Bin Haji Wan Mohamed,,male,bumiputera,,,,,Perikatan - UMNO
1,P055,Perak,Telok Anson,Tuan,Woo Saik Hong,,male,chinese,,,,,Perikatan - MCA
1,P056,Perak,Bagan Datoh,Tuan,Yahya Bin Haji Ahmad,,male,bumiputera,,,,,Perikatan - UMNO
1,P044,Perak,Bruas,Tuan,Yeoh Tat Beng,,male,chinese,,,,,Bebas
1,P045,Perak,Sitiawan,Tuan,Yong Woo Ming,,male,chinese,,,,,Perikatan - MCA
1,P098,Johor,Pontian Selatan,Puan Hajah,Zain Binti Sulaiman,,female,bumiputera,,,,,Perikatan - UMNO
1,P069,Selangor,Langat,Tuan Haji,Zakaria bin Haji Mohd. Taib,,male,bumiputera,,,,,Perikatan - UMNO
1,P019,Kelantan,Bachok,Tuan,Zulkiflee bin Muhammad,,male,bumiputera,,,,,PAS
2,P094,Johor,Batu Pahat Dalam,Tuan,Syed Esa Bin Alwee,,male,bumiputera,,,Yang Dipertua Dewan Rakyat,,Perikatan - UMNO
2,P007,Kedah,Kuala Kedah,Y.T.M. Tunku,Abdul Rahman Putra Al Haj,,male,bumiputera,,Perdana Menteri,,,Perikatan - UMNO
2,P062,Pahang,Pekan,Y.A.B. Tun Haji,Abdul Razak Bin Dato' Hussain,,male,bumiputera,,Timbalan Perdana Menteri,,,Perikatan - UMNO
2,P102,Johor,Johor Timur,Dato' Dr.,Ismail Bin Dato' Haji Abdul Rahman,,male,bumiputera,,,,,Perikatan - UMNO
2,P085,Melaka,Melaka Tengah,Tuan,Tan Siew Sin,,male,chinese,,,,,Perikatan - MCA
2,P046,Perak,Sungai Siput,Dato',V. T. Sambanthan,,male,indian,,,,,Perikatan - MIC
2,P097,Johor,Pontian Utara,Dato' Haji,Sardon Bin Haji Jubir,,male,bumiputera,,,,,Perikatan - UMNO
2,P079,Negeri Sembilan,Kuala Pilah,Tuan,Bahaman Bin Samsudin,,male,bumiputera,,,,,Perikatan - UMNO
2,P061,Pahang,Kuantan,Tuan,Abdul Rahman Bin Haji Talib,,male,bumiputera,,,,,Perikatan - UMNO
2,P043,Perak,Larut Selatan,Dr.,Lim Swee Aun,,male,bumiputera,,,,,Perikatan - MCA
2,P057,Perak,Batang Padang,Tuan Haji,Abdul Hamid Khan Bin Haji Sakhawat Ali Khan,,male,bumiputera,,,,,Perikatan - UMNO
2,P078,Selangor,Ulu Selangor,Tuan,Khaw Kai Boh,,male,chinese,,,,,Perikatan - MCA
2,,,Sarawak,Dato' Temenggong,Jugah Anak Barieng,,male,bumiputera,,,,,
2,P074,Selangor,Klang,Tuan,V. Manickavasagam,,male,indian,,,,,Perikatan - MIC
2,P004,Kedah,Kubang Pasu Barat,Tuan,Senu Bin Abdul Rahman,,male,bumiputera,,,,,Perikatan - UMNO
2,P009,Kedah,Kedah Tengah,Tuan,Mohamed Khir Bin Johari,,male,bumiputera,,,,,Perikatan - UMNO
2,P005,Kedah,Kota Star Utara,Tuan Haji,Abdul Khalid Bin Awang Osman,,male,bumiputera,,,,,Perikatan - UMNO
2,P039,Perak,Ulu Perak,Tuan,Mohamed Ghazali Bin Haji Jawi,,male,bumiputera,,,,,Perikatan - UMNO
2,,,Sarawak,Tuan,Abdul Rahman Bin Ya'kub,,male,bumiputera,,,,,
2,P056,Perak,Bagan Datoh,Tuan,Sulaiman Bin Bulon,,male,bumiputera,,,,,Perikatan - UMNO
2,P030,Terengganu,Terengganu Tengah,,Engku Muhsein Bin Abdul Kadir,,male,bumiputera,,,,,Perikatan - UMNO
2,P076,Selangor,Sepang,Tuan,Lee Siok Yew,,male,chinese,,,,,Perikatan - MCA
2,P087,Melaka,Melaka Utara,Tuan,Abdul Ghani Bin Ishak,,male,bumiputera,,,,,Perikatan - UMNO
2,P088,Melaka,Melaka Selatan,Tuan,Abdul Karim Bin Abu,,male,bumiputera,,,,,Perikatan - UMNO
2,P026,Terengganu,Kuala Terengganu Utara,Tuan,Wan Abdul Kadir Bin Ismail,,male,bumiputera,,,,,Perikatan - UMNO
2,,,Singapore,Tuan,Abdul Rahim Ishak,,male,bumiputera,,,,,
2,,,Sarawak,Tuan,Wan Abdul Rahman Bin Datu Tuanku Bujang,,male,bumiputera,,,,,
2,,,Sabah,Tuan Haji,Abdul Rashid Bin Haji Jais,,male,bumiputera,,,,,
2,P040,Perak,Krian Laut,Tuan,Abdul Rauf Bin A. Rahman,,male,bumiputera,,,,,Perikatan - UMNO
2,P064,Pahang,Lipis,Tuan,Abdul Razak Bin Haji Hussin,,male,bumiputera,,,,,Perikatan - UMNO
2,P021,Kelantan,Pasir Mas Hulu,Tuan,Abdul Samad Bin Gul Ahmad Mianji,,male,bumiputera,,,,,PAS
2,P027,Terengganu,Kuala Terengganu Selatan,Dato',Abdullah Bin Abdulrahman,,male,bumiputera,,,,,Perikatan - UMNO
2,,,Marhum Tuanku Abdul Rahman,Y.A.M. Tunku,Abdullah Ibni Al,,male,bumiputera,,,,,
2,P103,Johor,Segamat Utara,Tuan Haji,Abdullah Bin Haji Mohd. Salleh,,male,bumiputera,,,,,Perikatan - UMNO
2,P016,Kelantan,Kelantan Hilir,Tuan Haji,Ahmad Bin Abdullah,,male,bumiputera,,,,,PAS
2,P104,Johor,Muar Utara,Tuan,Ahmad Bin Arshad,,male,bumiputera,,,,,Perikatan - UMNO
2,P038,Pulau Pinang,Seberang Utara,Tuan Haji,Ahmad Bin Saaid,,male,bumiputera,,,,,Perikatan - UMNO
2,,,Sarawak,Puan,Ajibah Binti Abol,,female,bumiputera,,,,,
2,P098,Johor,Pontian Selatan,Tuan,Ali Bin Haji Ahmad,,male,bumiputera,,,,,Perikatan - UMNO
2,,,Sabah,O.K.K. Datu,Aliuddin Bin Datu Harun,,male,bumiputera,,,,,
2,P092,Johor,Muar Selatan,Dr.,Awang Bin Hassan,,male,bumiputera,,,,,Perikatan - UMNO
2,P089,Johor,Muar Dalam,Tuan,Aziz Bin Ishak,,male,bumiputera,,,,,Perikatan - UMNO
2,,,Sarawak,Tuan,Jonathan Bangau Anak Renang,,male,bumiputera,,,,,
