ge,state,parlimen,ballot_order,party,votes,result,result_desc,uid,name,birth_year,sex,ethnicity
13,Selangor,P.107 Sungai Buloh,1,BEBAS (BEBAS),460,0,lost_deposit,3790,NAZARUDDIN,1973,male,bumiputera
13,Selangor,P.107 Sungai Buloh,2,BEBAS (BEBAS),218,0,lost_deposit,3791,EDROS BIN ABDULLAH,1954,male,bumiputera
13,Selangor,P.107 Sungai Buloh,3,BARISAN JEMAAH ISLAMIAH SE MALAYSIA (BERJASA),4454,0,lost_deposit,3792,MOHAMAD,1965,male,bumiputera
13,Selangor,P.107 Sungai Buloh,4,BARISAN NASIONAL (BN),39549,0,lost,3793,A. PRAKASH RAO,1966,male,indian
13,Selangor,P.107 Sungai Buloh,5,PARTI KEADILAN RAKYAT (PKR),66268,1,won,3443,SIVARASA RASIAH,1957,male,indian
13,Selangor,P.108 Shah Alam,1,BARISAN NASIONAL (BN),38070,0,lost,3309,ZULKIFLI BIN NOORDIN,1962,male,bumiputera
13,Selangor,P.108 Shah Alam,2,PARTI ISLAM SE MALAYSIA (PAS),49009,1,won,3095,KHALID ABDUL SAMAD,1957,male,bumiputera
13,Selangor,P.109 Kapar,1,BARISAN NASIONAL (BN),46059,0,lost,3794,SAKTHIVELL,1970,male,indian
13,Selangor,P.109 Kapar,2,BEBAS (BEBAS),1067,0,lost_deposit,3795,HAMZAH JAWA MERU,1964,male,bumiputera
13,Selangor,P.109 Kapar,3,BEBAS (BEBAS),231,0,lost_deposit,3796,PALAYA,1957,male,indian
13,Selangor,P.109 Kapar,4,BARISAN JEMAAH ISLAMIAH SE MALAYSIA (BERJASA),6289,0,lost_deposit,3797,MOHD PATHAN HUSSIN,1968,male,bumiputera
13,Selangor,P.109 Kapar,5,PARTI KEADILAN RAKYAT (PKR),69849,1,won,3798,MANIVANAN GOWIN,1975,male,indian
13,Selangor,P.109 Kapar,6,BEBAS (BEBAS),835,0,lost_deposit,3799,MOHD NAZRI BIN ABDUL AZIZ,1971,male,bumiputera
13,Selangor,P.110 Klang,1,BARISAN NASIONAL (BN),29034,0,lost,3800,TEH KIM POO,1952,male,chinese
13,Selangor,P.110 Klang,2,PARTI TINDAKAN DEMOKRATIK (DAP),53719,1,won,3447,CHARLES SANTIAGO,1961,male,indian
13,Selangor,P.111 Kota Raja,1,BEBAS (BEBAS),2364,0,lost_deposit,3801,P.UTHAYAKUMAR,1962,male,indian
13,Selangor,P.111 Kota Raja,2,BARISAN NASIONAL (BN),29711,0,lost,3442,S. MURUGESAN,1968,male,indian
13,Selangor,P.111 Kota Raja,3,BEBAS (BEBAS),280,0,lost_deposit,3802,AZMAN BIN IDRIS,1972,male,bumiputera
13,Selangor,P.111 Kota Raja,4,PARTI ISLAM SE MALAYSIA (PAS),59106,1,won,3449,MARIAH MAHMUD,1958,female,bumiputera
13,Selangor,P.112 Kuala Langat,1,BARISAN NASIONAL (BN),35625,0,lost,3803,SHARUDDIN BIN OMAR (B),1960,male,bumiputera
13,Selangor,P.112 Kuala Langat,2,BEBAS (BEBAS),426,0,lost_deposit,3804,KHAIRUL SHAH KOTTAPPAN,1963,male,bumiputera
13,Selangor,P.112 Kuala Langat,3,PARTI KEADILAN RAKYAT (PKR),40983,1,won,3451,ABDULLAH SANI,1962,male,bumiputera
13,Selangor,P.113 Sepang,1,BEBAS (BEBAS),315,0,lost_deposit,3805,HANAPIAH MOHAMAD,1956,male,bumiputera
13,Selangor,P.113 Sepang,2,BEBAS (BEBAS),962,0,lost_deposit,3806,SUHAIMI BIN MOHD GHAZALI,1968,male,bumiputera
13,Selangor,P.113 Sepang,3,BARISAN NASIONAL (BN),35658,0,lost,3452,MOHD ZIN MOHAMED,1954,male,bumiputera
13,Selangor,P.113 Sepang,4,PARTI ISLAM SE MALAYSIA (PAS),36800,1,won,2501,MOHAMED HANIPA BIN MAIDIN,1969,male,bumiputera
13,W.P. Kuala Lumpur,P.114 Kepong,1,BEBAS (BEBAS),2757,0,lost_deposit,3807,YEE POH PING,1960,male,chinese
13,W.P. Kuala Lumpur,P.114 Kepong,2,PARTI TINDAKAN DEMOKRATIK (DAP),47837,1,won,1238,TAN SENG GIAW @ TAN CHUN TIN,1943,male,chinese
13,W.P. Kuala Lumpur,P.114 Kepong,3,BARISAN NASIONAL (BN),7530,0,lost,3808,CHANDRAN,1962,male,indian
13,W.P. Kuala Lumpur,P.115 Batu,1,PARTI KEADILAN RAKYAT (PKR),41672,1,won,2789,TIAN CHUA,1964,male,chinese
13,W.P. Kuala Lumpur,P.115 Batu,2,BEBAS (BEBAS),164,0,lost_deposit,3809,ATAN BIN JASIN,1979,male,bumiputera
13,W.P. Kuala Lumpur,P.115 Batu,3,BARISAN JEMAAH ISLAMIAH SE MALAYSIA (BERJASA),949,0,lost_deposit,3810,BRIG. GEN HASHIM KARIM,1946,male,bumiputera
13,W.P. Kuala Lumpur,P.115 Batu,4,BARISAN NASIONAL (BN),28388,0,lost,3811,DOMINIC LAU HOE CHAI,1968,male,chinese
13,W.P. Kuala Lumpur,P.115 Batu,5,BEBAS (BEBAS),209,0,lost_deposit,3812,NAZARIAH BINTI ABBAS,1961,female,bumiputera
13,W.P. Kuala Lumpur,P.116 Wangsa Maju,1,BARISAN NASIONAL (BN),26130,0,lost,3813,SHAFEI ABDULLAH,1958,male,bumiputera
13,W.P. Kuala Lumpur,P.116 Wangsa Maju,2,PARTI KEADILAN RAKYAT (PKR),31641,1,won,2447,TAN KEE KWONG,1947,male,chinese
13,W.P. Kuala Lumpur,P.117 Segambut,1,PARTI TINDAKAN DEMOKRATIK (DAP),41383,1,won,3456,LIM LIP ENG,1972,male,chinese
13,W.P. Kuala Lumpur,P.117 Segambut,2,BARISAN NASIONAL (BN),22184,0,lost,3814,JAYANTHI DEVI BALAGURU,1962,female,indian
13,W.P. Kuala Lumpur,P.118 Setiawangsa,1,BARISAN NASIONAL (BN),26809,1,won,3815,AHMAD FAUZI ZAHARI,1964,male,bumiputera
13,W.P. Kuala Lumpur,P.118 Setiawangsa,2,PARTI KEADILAN RAKYAT (PKR),25419,0,lost,3458,IBRAHIM BIN YAAKOB,1953,male,bumiputera
13,W.P. Kuala Lumpur,P.119 Titiwangsa,1,BARISAN NASIONAL (BN),23034,1,won,3816,JOHARI GHANI,1964,male,bumiputera
13,W.P. Kuala Lumpur,P.119 Titiwangsa,2,PARTI ISLAM SE MALAYSIA (PAS),22168,0,lost,3817,AHMAD ZAMRI ASA'AD KHUZAIMI,1976,male,bumiputera
13,W.P. Kuala Lumpur,P.120 Bukit Bintang,1,BARISAN NASIONAL (BN),11009,0,lost,3818,FRANKIE GAN JOON ZIN,1967,male,chinese
13,W.P. Kuala Lumpur,P.120 Bukit Bintang,2,PARTI TINDAKAN DEMOKRATIK (DAP),30408,1,won,2128,FONG KUI LUN,1946,male,chinese
13,W.P. Kuala Lumpur,P.121 Lembah Pantai,1,PARTI KEADILAN RAKYAT (PKR),31008,1,won,3464,NURUL IZZAH ANWAR,1980,female,bumiputera
13,W.P. Kuala Lumpur,P.121 Lembah Pantai,2,BEBAS (BEBAS),167,0,lost_deposit,3819,RUSLI BIN BABA,1960,male,bumiputera
13,W.P. Kuala Lumpur,P.121 Lembah Pantai,3,BARISAN NASIONAL (BN),29161,0,lost,3820,RAJA NONG CHIK,1953,male,bumiputera
13,W.P. Kuala Lumpur,P.122 Seputeh,1,PARTI TINDAKAN DEMOKRATIK (DAP),61500,1,won,2769,TERESA KOK,1964,female,chinese
13,W.P. Kuala Lumpur,P.122 Seputeh,2,BARISAN NASIONAL (BN),9948,0,lost,3821,NICOLE WONG SIAW TING,1981,female,chinese
13,W.P. Kuala Lumpur,P.123 Cheras,1,BARISAN NASIONAL (BN),10840,0,lost,3822,STEVE TEOH CHEE HOOI,1973,male,chinese
13,W.P. Kuala Lumpur,P.123 Cheras,2,PARTI TINDAKAN DEMOKRATIK (DAP),48249,1,won,1825,TAN KOK WAI,1957,male,chinese
13,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,1,BEBAS (BEBAS),793,0,lost_deposit,3823,SUKERI SAMAT,1974,male,bumiputera
13,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,2,BEBAS (BEBAS),191,0,lost_deposit,3824,MOKHTAR,1948,male,bumiputera
13,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,3,BARISAN NASIONAL (BN),32235,0,lost,3825,TAN KOK ENG,1980,male,chinese
13,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,4,PARTI KEADILAN RAKYAT (PKR),44067,1,won,3467,ABDUL KHALID IBRAHIM,1947,male,bumiputera
13,W.P. Putrajaya,P.125 Putrajaya,1,BARISAN NASIONAL (BN),9943,1,won,3468,TENGKU ADNAN BIN TENGKU MANSOR,1951,male,bumiputera
13,W.P. Putrajaya,P.125 Putrajaya,2,PARTI ISLAM SE MALAYSIA (PAS),4402,0,lost,3826,HUSAM MUSA,1960,male,bumiputera
13,Negeri Sembilan,P.126 Jelebu,1,BARISAN NASIONAL (BN),22114,1,won,3827,ZAINUDIN BIN ISMAIL,1960,male,bumiputera
13,Negeri Sembilan,P.126 Jelebu,2,PARTI ISLAM SE MALAYSIA (PAS),15013,0,lost,3828,AIMAN ATHIRAH AL JUNDI,1973,female,bumiputera
13,Negeri Sembilan,P.127 Jempol,1,PARTI ISLAM SE MALAYSIA (PAS),22495,0,lost,3829,AISHAH,1965,female,bumiputera
13,Negeri Sembilan,P.127 Jempol,2,BARISAN NASIONAL (BN),31124,1,won,3830,ISA BIN ABDUL SAMAD,1950,male,bumiputera
13,Negeri Sembilan,P.128 Seremban,1,BARISAN JEMAAH ISLAMIAH SE MALAYSIA (BERJASA),6866,0,lost_deposit,3831,ABDUL HALIM ABDULLAH,1966,male,bumiputera
13,Negeri Sembilan,P.128 Seremban,2,BEBAS (BEBAS),221,0,lost_deposit,3473,JOHN FERNANDEZ,1942,male,indian
13,Negeri Sembilan,P.128 Seremban,3,BEBAS (BEBAS),83,0,lost_deposit,3832,BUJANG BIN ABU,1952,male,bumiputera
13,Negeri Sembilan,P.128 Seremban,4,PARTI TINDAKAN DEMOKRATIK (DAP),45628,1,won,3477,LOKE SIEW FOOK,1977,male,chinese
13,Negeri Sembilan,P.128 Seremban,5,BARISAN NASIONAL (BN),33075,0,lost,3476,YEOW CHAI THIAM,1953,male,chinese
13,Negeri Sembilan,P.129 Kuala Pilah,1,BARISAN NASIONAL (BN),24507,1,won,3474,HASAN BIN MALEK,1946,male,bumiputera
13,Negeri Sembilan,P.129 Kuala Pilah,2,PARTI KEADILAN RAKYAT (PKR),14846,0,lost,3833,MOHD NAZREE BIN MOHD YUNUS,1985,male,bumiputera
13,Negeri Sembilan,P.130 Rasah,1,BARISAN NASIONAL (BN),25171,0,lost,3834,TEO ENG KIAN,1979,male,chinese
13,Negeri Sembilan,P.130 Rasah,2,PARTI TINDAKAN DEMOKRATIK (DAP),49272,1,won,3835,TEO KOK SEONG,1980,male,chinese
13,Negeri Sembilan,P.131 Rembau,1,BEBAS (BEBAS),325,0,lost_deposit,3836,ABDUL AZIZ BIN HASSAN,1956,male,bumiputera
13,Negeri Sembilan,P.131 Rembau,2,BARISAN NASIONAL (BN),43053,1,won,3478,KHAIRY JAMALUDDIN ABU BAKAR,1976,male,bumiputera
13,Negeri Sembilan,P.131 Rembau,3,PARTI KEADILAN RAKYAT (PKR),24696,0,lost,3837,RADZALI A. GHANI,1956,male,bumiputera
13,Negeri Sembilan,P.132 Port Dickson,1,BEBAS (BEBAS),394,0,lost_deposit,3838,A.K KUMARAVEL,1967,male,indian
13,Negeri Sembilan,P.132 Port Dickson,2,PARTI KEADILAN RAKYAT (PKR),29848,1,won,3480,KAMARUL BAHARIN BIN ABBAS,1948,male,bumiputera
13,Negeri Sembilan,P.132 Port Dickson,3,BARISAN NASIONAL (BN),28269,0,lost,3839,V.S. MOGAN,1969,male,indian
13,Negeri Sembilan,P.133 Tampin,1,PARTI ISLAM SE MALAYSIA (PAS),18228,0,lost,3482,ABDUL RAZAKEK,1960,male,bumiputera
13,Negeri Sembilan,P.133 Tampin,2,BARISAN NASIONAL (BN),29390,1,won,2778,SHAZIMAN BIN ABU MANSOR,1964,male,bumiputera
13,Melaka,P.134 Masjid Tanah,1,BARISAN NASIONAL (BN),27688,1,won,3840,MAS ERMIEYATI,1976,female,bumiputera
13,Melaka,P.134 Masjid Tanah,2,PARTI ISLAM SE MALAYSIA (PAS),11488,0,lost,3841,NASAIE ISMAIL,1984,male,bumiputera
13,Melaka,P.135 Alor Gajah,1,PARTI TINDAKAN DEMOKRATIK (DAP),20997,0,lost,3842,DAMIAN (BABA) YEO,1975,male,chinese
13,Melaka,P.135 Alor Gajah,2,BARISAN NASIONAL (BN),32594,1,won,3843,KOH NAI KWONG,1961,male,chinese
13,Melaka,P.136 Tangga Batu,1,BARISAN NASIONAL (BN),39468,1,won,3844,ABU BAKAR MOHAMAD DIAH,1959,male,bumiputera
13,Melaka,P.136 Tangga Batu,2,PARTI KEADILAN RAKYAT (PKR),23835,0,lost,3845,RAHIM BIN ALI,1946,male,bumiputera
13,Melaka,P.137 Hang Tuah Jaya,1,PARTI KEADILAN RAKYAT (PKR),46357,1,won,3142,SHAMSUL ISKANDAR HAJI MOHD AKIN,1975,male,bumiputera
13,Melaka,P.137 Hang Tuah Jaya,2,BARISAN NASIONAL (BN),40624,0,lost,2474,MOHD. ALI BIN MOHD. RUSTAM,1950,male,bumiputera
13,Melaka,P.138 Kota Melaka,1,BARISAN NASIONAL (BN),28775,0,lost,3846,YEE KOK WAH,1979,male,chinese
13,Melaka,P.138 Kota Melaka,2,PARTI TINDAKAN DEMOKRATIK (DAP),49521,1,won,3489,SIM TONG HIM,1949,male,chinese
13,Melaka,P.139 Jasin,1,PARTI KEADILAN RAKYAT (PKR),21973,0,lost,3847,RAHMAT BIN YUSOF,1958,male,bumiputera
13,Melaka,P.139 Jasin,2,BARISAN NASIONAL (BN),33736,1,won,3491,AHMAD HAMZAH,1949,male,bumiputera
13,Johor,P.140 Segamat,1,BARISAN NASIONAL (BN),20037,1,won,985,S. S. SUBRAMANIAM,1953,male,indian
13,Johor,P.140 Segamat,2,PARTI KEADILAN RAKYAT (PKR),18820,0,lost,1852,CHUA JUI MENG,1944,male,chinese
13,Johor,P.141 Sekijang,1,PARTI KEADILAN RAKYAT (PKR),16927,0,lost,3848,JULAILEY JEMADI,1980,male,bumiputera
13,Johor,P.141 Sekijang,2,BARISAN NASIONAL (BN),19934,1,won,3849,ANUAR BIN ABDUL MANAP,1977,male,bumiputera
13,Johor,P.142 Labis,1,PARTI TINDAKAN DEMOKRATIK (DAP),15468,0,lost,3850,S. RAMAKRISHNAN,1956,male,indian
13,Johor,P.142 Labis,2,BARISAN NASIONAL (BN),15821,1,won,3493,CHUA TEE YONG,1977,male,chinese
13,Johor,P.143 Pagoh,1,BARISAN NASIONAL (BN),26274,1,won,2797,MUHYIDDIN BIN MD YASIN,1947,male,bumiputera
13,Johor,P.143 Pagoh,2,PARTI ISLAM SE MALAYSIA (PAS),13432,0,lost,3495,MOHD ROZALI BIN JAMIL AL-HAFIZ,1972,male,bumiputera
13,Johor,P.144 Ledang,1,BARISAN NASIONAL (BN),30619,1,won,3153,HAMIM SAMURI,1958,male,bumiputera
13,Johor,P.144 Ledang,2,PARTI KEADILAN RAKYAT (PKR),28652,0,lost,1860,HASSAN BIN ABDUL KARIM,1951,male,bumiputera
13,Johor,P.145 Bakri,1,BARISAN NASIONAL (BN),26051,0,lost,3851,LEE CHING YONG,1976,male,chinese
13,Johor,P.145 Bakri,2,PARTI TINDAKAN DEMOKRATIK (DAP),31118,1,won,3497,ER TECK HWA,1973,male,chinese
13,Johor,P.146 Muar,1,PARTI KEADILAN RAKYAT (PKR),19221,0,lost,3852,NOR HIZWAN AHMAD,1984,male,bumiputera
13,Johor,P.146 Muar,2,BARISAN NASIONAL (BN),20867,1,won,3498,CHE RAZALI BIN IBRAHIM,1971,male,bumiputera
13,Johor,P.147 Parit Sulong,1,PARTI ISLAM SE MALAYSIA (PAS),18505,0,lost,3853,KHAIRUDDIN A. RAHIM,1959,male,bumiputera
13,Johor,P.147 Parit Sulong,2,BARISAN NASIONAL (BN),30258,1,won,3501,NORAINI AHMAD,1967,female,bumiputera
13,Johor,P.148 Ayer Hitam,1,PARTI ISLAM SE MALAYSIA (PAS),14735,0,lost,3854,HU PANG CHAW,1956,male,chinese
13,Johor,P.148 Ayer Hitam,2,BARISAN NASIONAL (BN),22045,1,won,3502,WEE KA SIONG,1968,male,chinese
13,Johor,P.149 Sri Gading,1,PARTI KEADILAN RAKYAT (PKR),16692,0,lost,3855,MOHD KHUZZAN BIN ABU BAKAR,1969,male,bumiputera
13,Johor,P.149 Sri Gading,2,BARISAN NASIONAL (BN),22453,1,won,3856,AZIZ KAPRAWI,1960,male,bumiputera
13,Johor,P.150 Batu Pahat,1,PARTI KEADILAN RAKYAT (PKR),38563,1,won,3857,IDRIS JUSI,1945,male,bumiputera
13,Johor,P.150 Batu Pahat,2,BARISAN NASIONAL (BN),37039,0,lost,3506,MOHD PUAD BIN ZARKASHI,1958,male,bumiputera
13,Johor,P.151 Simpang Renggam,1,PARTI ISLAM SE MALAYSIA (PAS),14048,0,lost,3858,SUHAIZAN BIN KAIAT,1973,male,bumiputera
13,Johor,P.151 Simpang Renggam,2,BARISAN NASIONAL (BN),19754,1,won,3507,LIANG TECK MENG,1972,male,chinese
13,Johor,P.152 Kluang,1,BARISAN NASIONAL (BN),33215,0,lost,3509,HOU KOK CHUNG,1963,male,chinese
13,Johor,P.152 Kluang,2,PARTI TINDAKAN DEMOKRATIK (DAP),40574,1,won,3357,LIEW CHIN TONG,1977,male,chinese
13,Johor,P.153 Sembrong,1,BARISAN NASIONAL (BN),22841,1,won,3510,HISHAMMUDDIN TUN HUSSEIN,1961,male,bumiputera
13,Johor,P.153 Sembrong,2,PARTI KEADILAN RAKYAT (PKR),12210,0,lost,3859,ONN BIN ABU BAKAR,1963,male,bumiputera
13,Johor,P.154 Mersing,1,PARTI ISLAM SE MALAYSIA (PAS),10437,0,lost,3860,ROSLAN,1960,male,bumiputera
13,Johor,P.154 Mersing,2,BARISAN NASIONAL (BN),26184,1,won,3512,ABDUL LATIFF,1959,male,bumiputera
13,Johor,P.155 Tenggara,1,BARISAN NASIONAL (BN),25698,1,won,3515,HALIMAH BINTI MOHAMED SADIQUE,1962,female,bumiputera
13,Johor,P.155 Tenggara,2,PARTI ISLAM SE MALAYSIA (PAS),8502,0,lost,3861,MUHAMAD SAID,1954,male,bumiputera
13,Johor,P.156 Kota Tinggi,1,PARTI ISLAM SE MALAYSIA (PAS),5799,0,lost,3517,ONN BIN JAAFAR,1964,male,bumiputera
13,Johor,P.156 Kota Tinggi,2,BARISAN NASIONAL (BN),30373,1,won,3862,EHSANUDDIN,1964,male,bumiputera
13,Johor,P.157 Pengerang,1,PARTI KEADILAN RAKYAT (PKR),4484,0,lost,3863,DAYANGKU INTAN,1966,female,bumiputera
13,Johor,P.157 Pengerang,2,BARISAN NASIONAL (BN),26992,1,won,3518,AZALINA OTHMAN SAID,1964,female,bumiputera
13,Johor,P.157 Pengerang,3,BEBAS (BEBAS),795,0,lost_deposit,3864,MOHD AZAMAN,1967,male,bumiputera
13,Johor,P.158 Tebrau,1,PARTI KEADILAN RAKYAT (PKR),38218,0,lost,3865,STEVEN CHOONG,1958,male,chinese
13,Johor,P.158 Tebrau,2,BARISAN NASIONAL (BN),39985,1,won,3866,KHOO SOO SEANG,1945,male,chinese
13,Johor,P.159 Pasir Gudang,1,PARTI KEADILAN RAKYAT (PKR),42899,0,lost,3867,AHMAD FAIDHI B. SAIDI,1964,male,bumiputera
13,Johor,P.159 Pasir Gudang,2,BARISAN NASIONAL (BN),43834,1,won,3868,NORMALA BINTI ABDUL SAMAD,1963,female,bumiputera
13,Johor,P.160 Johor Bahru,1,BARISAN NASIONAL (BN),44509,1,won,3522,SHAHRIR ABDUL SAMAD,1950,male,bumiputera
13,Johor,P.160 Johor Bahru,2,PARTI KEADILAN RAKYAT (PKR),34014,0,lost,3869,MOHD HASHIM BIN HUSSEIN,1948,male,bumiputera
13,Johor,P.161 Pulai,1,BARISAN NASIONAL (BN),43751,1,won,3524,NUR JAZLAN BIN MOHAMED,1966,male,bumiputera
13,Johor,P.161 Pulai,2,PARTI ISLAM SE MALAYSIA (PAS),40525,0,lost,2958,SALAHUDDIN AYUB,1962,male,bumiputera
13,Johor,P.162 Iskandar Puteri,1,BARISAN NASIONAL (BN),39522,0,lost,1845,A. GHANI BIN OTHMAN,1947,male,bumiputera
13,Johor,P.162 Iskandar Puteri,2,PARTI TINDAKAN DEMOKRATIK (DAP),54284,1,won,698,LIM KIT SIANG,1941,male,chinese
13,Johor,P.163 Kulai,1,PARTI TINDAKAN DEMOKRATIK (DAP),43338,1,won,3434,TEO NIE CHING,1981,female,chinese
13,Johor,P.163 Kulai,2,BARISAN NASIONAL (BN),29888,0,lost,3870,TAY CHIN HEIN,1969,male,chinese
13,Johor,P.163 Kulai,3,BEBAS (BEBAS),238,0,lost_deposit,3871,SURENDIRAN,1971,male,indian
13,Johor,P.164 Pontian,1,PARTI KEADILAN RAKYAT (PKR),14077,0,lost,3872,HANIFF @ GHAZALI HOSMAN,1981,male,bumiputera
13,Johor,P.164 Pontian,2,BARISAN NASIONAL (BN),27804,1,won,3527,AHMAD MASLAN,1966,male,bumiputera
13,Johor,P.165 Tanjung Piai,1,BARISAN NASIONAL (BN),25038,1,won,3529,WEE JECK SENG,1964,male,chinese
13,Johor,P.165 Tanjung Piai,2,PARTI TINDAKAN DEMOKRATIK (DAP),19581,0,lost,3873,MAHDZIR IBRAHIM,1977,male,bumiputera
13,W.P. Labuan,P.166 Labuan,1,PARTI KEADILAN RAKYAT (PKR),6069,0,lost,3874,IBRAHIM BIN MENUDIN,1948,male,bumiputera
13,W.P. Labuan,P.166 Labuan,2,BARISAN NASIONAL (BN),12694,1,won,3875,ROZMAN BIN ISLI,1965,male,bumiputera
13,W.P. Labuan,P.166 Labuan,3,PARTI ISLAM SE MALAYSIA (PAS),386,0,lost_deposit,3876,HAMDAN BIN MOHAMAD,1959,male,bumiputera
13,Sabah,P.167 Kudat,1,PARTI MAJU SABAH (SAPP),963,0,lost_deposit,3877,MOJURIP BIN DIYUN,1953,male,bumiputera
13,Sabah,P.167 Kudat,2,PARTI KEADILAN RAKYAT (PKR),9507,0,lost,3878,RAHIMAH MAJID,1978,female,bumiputera
13,Sabah,P.167 Kudat,3,BARISAN NASIONAL (BN),21883,1,won,3533,ABDUL RAHIM BAKRI,1961,male,bumiputera
13,Sabah,P.167 Kudat,4,PARTI REFORMASI NEGERI SARAWAK (STAR),3083,0,lost_deposit,3879,JUTIRIM BIN GALIBAI GALABI,1970,male,bumiputera
13,Sabah,P.168 Kota Marudu,1,PARTI REFORMASI NEGERI SARAWAK (STAR),2228,0,lost_deposit,3880,MAJAMIS BIN TIMBONG,1964,male,bumiputera
13,Sabah,P.168 Kota Marudu,2,BARISAN NASIONAL (BN),15168,1,won,3537,PANGLIMA MAXIMUS JOHNITY ONGKILI,1954,male,bumiputera
13,Sabah,P.168 Kota Marudu,3,PARTI MAJU SABAH (SAPP),444,0,lost_deposit,3881,YUNTAU K. KOLOD,1956,male,bumiputera
13,Sabah,P.168 Kota Marudu,4,PARTI KEADILAN RAKYAT (PKR),14326,0,lost,2826,MAIJOL MAHAP,1960,male,bumiputera
13,Sabah,P.169 Kota Belud,1,PARTI KEADILAN RAKYAT (PKR),16673,0,lost,3882,MUNIRAH MAJILIS,1982,female,bumiputera
13,Sabah,P.169 Kota Belud,2,BEBAS (BEBAS),979,0,lost_deposit,3883,LAMSIL HAMIDSOR,1960,male,bumiputera
13,Sabah,P.169 Kota Belud,3,BEBAS (BEBAS),185,0,lost_deposit,3884,KANUL GINDOL,1967,male,bumiputera
13,Sabah,P.169 Kota Belud,4,BARISAN NASIONAL (BN),21768,1,won,3538,ABDUL RAHMAN BIN DAHLAN,1966,male,bumiputera
13,Sabah,P.169 Kota Belud,5,PARTI REFORMASI NEGERI SARAWAK (STAR),2709,0,lost_deposit,3885,JALUMIN BIN BAYOGOH,1963,male,bumiputera
13,Sabah,P.170 Tuaran,1,PARTI REFORMASI NEGERI SARAWAK (STAR),1509,0,lost_deposit,3886,SAMIN @ JASMIN BIN DULIN,1967,male,bumiputera
13,Sabah,P.170 Tuaran,2,BEBAS (BEBAS),2264,0,lost_deposit,3887,ERVEANA ANSARI,1976,female,bumiputera
13,Sabah,P.170 Tuaran,3,BARISAN NASIONAL (BN),20685,1,won,3888,PANGLIMA WILFRED MADIUS TANGAU,1958,male,bumiputera
13,Sabah,P.170 Tuaran,4,PARTI KEADILAN RAKYAT (PKR),15495,0,lost,3541,PANGLIMA WILFRED M. BUMBURING,1952,male,bumiputera
13,Sabah,P.171 Sepanggar,1,PARTI MAJU SABAH (SAPP),4070,0,lost_deposit,3889,DON CHIN HON KIONG,1959,male,chinese
13,Sabah,P.171 Sepanggar,2,PARTI REFORMASI NEGERI SARAWAK (STAR),1931,0,lost_deposit,3890,DANIEL JOHN JAMBUN,1957,male,bumiputera
13,Sabah,P.171 Sepanggar,3,PARTI TINDAKAN DEMOKRATIK (DAP),13403,0,lost,3891,JEFFREY KUMIN,1968,male,bumiputera
13,Sabah,P.171 Sepanggar,4,BARISAN NASIONAL (BN),22845,1,won,3892,JUMAT BIN IDRIS,1958,male,bumiputera
13,Sabah,P.172 Kota Kinabalu,1,BARISAN NASIONAL (BN),9557,0,lost,3546,CHIN TEK MING,1971,male,chinese
13,Sabah,P.172 Kota Kinabalu,2,PARTI REFORMASI NEGERI SARAWAK (STAR),909,0,lost_deposit,3893,LIEW HOCK LEONG @ MICHAEL,1954,male,chinese
13,Sabah,P.172 Kota Kinabalu,3,PARTI TINDAKAN DEMOKRATIK (DAP),28516,1,won,3894,WONG SZE PHIN @ JIMMY,1950,male,chinese
13,Sabah,P.173 Putatan,1,PARTI TINDAKAN DEMOKRATIK (DAP),7958,0,lost,3895,JOSEPH LEE HAN KYUN,1972,male,chinese
13,Sabah,P.173 Putatan,2,BARISAN NASIONAL (BN),17465,1,won,3547,MARCUS MAKIN MOJIGOH,1953,male,bumiputera
13,Sabah,P.173 Putatan,3,PARTI MAJU SABAH (SAPP),1068,0,lost_deposit,3896,DULI @ DULLIE BIN MARI @ MARIE,1951,male,bumiputera
13,Sabah,P.173 Putatan,4,PARTI REFORMASI NEGERI SARAWAK (STAR),2604,0,lost_deposit,3206,AWANG AHMAD SAH,1960,male,bumiputera
13,Sabah,P.174 Penampang,1,BARISAN NASIONAL (BN),12382,0,lost,1898,BERNARD GILUK DOMPOK,1950,male,bumiputera
13,Sabah,P.174 Penampang,2,PARTI REFORMASI NEGERI SARAWAK (STAR),1119,0,lost_deposit,3897,MELANIE ANNOL,1953,female,bumiputera
13,Sabah,P.174 Penampang,3,PARTI KEADILAN RAKYAT (PKR),22598,1,won,3898,DARELL LEIKING,1971,male,bumiputera
13,Sabah,P.175 Papar,1,BARISAN NASIONAL (BN),21196,1,won,3554,ROSNAH HJ ABDUL RASHID SHIRLIN,1973,female,bumiputera
13,Sabah,P.175 Papar,2,PARTI KEADILAN RAKYAT (PKR),10661,0,lost,2510,MOHAMMAD YAHYA @ YAHYA BIN LAMPONG,1940,male,bumiputera
13,Sabah,P.175 Papar,3,PARTI REFORMASI NEGERI SARAWAK (STAR),838,0,lost_deposit,3899,BALON BIN MUJIM,1960,male,bumiputera
13,Sabah,P.176 Kimanis,1,BARISAN NASIONAL (BN),13754,1,won,3558,ANIFAH AMAN,1954,male,bumiputera
