vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,remarks,id,index,uid,new_id
14,P028,Kelantan,PASIR PUTEH,YB DATUK DR.,NIK MUHAMMAD ZAWAWI BIN HAJI SALLEH,1967,male,bumiputera,PAS,Timbalan Menteri Pertanian dan Industri Makanan II,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.028-PASIR PUTEH.png,,1263,,4037,353
14,P029,Kelantan,MACHANG,YB DATUK,AHMAD JAZLAN BIN YAAKUB,1965,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.029-MACHANG.png,,1026,,3673,264
14,P030,Kelantan,JELI,YB DATO' SRI,MUSTAPA BIN MOHAMED,1951,male,bumiputera,BERSATU,Menteri di Jabatan Perdana Menteri (Ekonomi),,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.030-JELI.png,,649,285,2333,42
14,P031,Kelantan,KUALA KRAI,YB TUAN,ABDUL LATIFF BIN ABDUL RAHMAN,1972,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.031-KUALA KRAI.png,,1003,,4043,354
14,P032,Kelantan,GUA MUSANG,YB TENGKU,RAZALEIGH HAMZAH,1937,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.032-GUA MUSANG.png,,748,375,872,3
14,P033,Terengganu,BESUT,YB TAN SRI HAJI,IDRIS BIN JUSOH,1956,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.033-BESUT.png,,343,748,3676,265
14,P034,Terengganu,SETIU,YB TUAN,SHAHARIZUKIRNAIN BIN ABD KADIR,1970,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.034-SETIU.png,,1321,,4048,355
14,P035,Terengganu,KUALA NERUS,YB DATO' DR.,MOHD KHAIRUDDIN BIN AMAN RAZALI,1974,male,bumiputera,BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.035-KUALA NERUS.png,,1220,,3680,267
14,P036,Terengganu,KUALA TERENGGANU,YB DATUK HAJI,AHMAD AMZAD BIN MOHAMED @ HASHIM,1970,male,bumiputera,PAS,"Timbalan Menteri Sains, Teknologi dan Inovasi",,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.036-KUALA TERENGGANU.png,,1014,,4052,356
14,P037,Terengganu,MARANG,YB TAN SRI HAJI,ABDUL HADI BIN HAJI AWANG,1948,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.037-MARANG.png,,25,631,17049,572
14,P038,Terengganu,HULU TERENGGANU,YB DATO',ROSOL BIN WAHID,1965,male,bumiputera,BN - UMNO > BERSATU,Timbalan Menteri Perdagangan Dalam Negeri dan Hal Ehwal Pengguna,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.038-HULU TERENGGANU.png,,1303,,4057,357
14,P039,Terengganu,DUNGUN,YB TUAN HAJI,WAN HASSAN BIN MOHD RAMLI,1958,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.039-DUNGUN.png,,1366,,3686,270
14,P040,Terengganu,KEMAMAN,YB TUAN,CHE ALIAS BIN HAMID,1967,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.040-KEMAMAN.png,,1066,,4059,358
14,P041,Pulau Pinang,KEPALA BATAS,YB DATO' SRI,REEZAL MERICAN BIN NAINA MERICAN,1973,male,bumiputera,BN - UMNO,Menteri Perumahan dan Kerajaan Tempatan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.041-KEPALA BATAS.png,,1294,,3689,271
14,P042,Pulau Pinang,TASEK GELUGOR,YB DATUK HAJI,SHABUDIN BIN YAHAYA,1966,male,bumiputera,BERSATU,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.042-TASEK GELUGOR.png,,1320,,3692,272
14,P043,Pulau Pinang,BAGAN,YB TUAN,LIM GUAN ENG,1961,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.043-BAGAN.png,,461,574,1839,19
14,P044,Pulau Pinang,PERMATANG PAUH,YB PUAN,NURUL IZZAH BINTI ANWAR,1980,female,bumiputera,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.044-PERMATANG PAUH.png,,1277,,3464,180
14,P045,Pulau Pinang,BUKIT MERTAJAM,YB TUAN,SIM CHEE KEONG,1982,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.045-BUKIT MERTAJAM.png,,1329,,3699,273
14,P046,Pulau Pinang,BATU KAWAN,YB PUAN,KASTHURIRAANI A/P PATTO,1980,female,indian,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.046-BATU KAWAN.png,,1144,,3701,274
14,P047,Pulau Pinang,NIBONG TEBAL,YB DATO',MANSOR BIN OTHMAN,1950,male,bumiputera,PH - PKR > BERSATU,Timbalan Menteri Alam Sekitar dan Air,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.047-NIBONG TEBAL.png,,1184,,3705,275
14,P048,Pulau Pinang,BUKIT BENDERA,YB TUAN,WONG HON WAI,1973,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.048-BUKIT BENDERA.png,,1380,,4072,359
14,P049,Pulau Pinang,TANJONG,YB TUAN,CHOW KON YEOW,1958,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.049-TANJONG.png,,220,819,2665,58
14,P050,Pulau Pinang,JELUTONG,YB TUAN,SANISVARA NETHAJI RAYER A/L RAJAJI,1972,male,indian,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.050-JELUTONG.png,,1314,,4077,360
14,P051,Pulau Pinang,BUKIT GELUGOR,YB TUAN,RAMKARPAL SINGH A/L KARPAL SINGH,1976,male,other,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.051-BUKIT GELUGOR.png,,1291,,4080,361
14,P052,Pulau Pinang,BAYAN BARU,YB TUAN,SIM TZE TZIN,1976,male,chinese,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.052-BAYAN BARU.png,,1331,,3712,278
14,P053,Pulau Pinang,BALIK PULAU,YB DATO',MUHAMMAD BAKHTIAR BIN WAN CHIK,1965,male,bumiputera,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.053-BALIK PULAU.png,,1242,,3715,280
14,P054,Perak,Gerik,YB Dato',Hasbullah Bin Osman,1957,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P054.jpg,death,1105,,3717,281
14,P054,Perak,Gerik,,,,,,,,,,kosong,9999999,,9999999,579
14,P055,Perak,LENGGONG,YB DATUK SERI DR.,SHAMSUL ANUAR BIN HAJI NASARAH,1967,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.055-LENGGONG.png,,1326,,3369,137
14,P056,Perak,LARUT,YB DATUK SERI,HAMZAH BIN ZAINUDIN,1957,male,bumiputera,BN - UMNO > BERSATU,Menteri Dalam Negeri,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.056-LARUT.png,,1098,,3371,138
14,P057,Perak,PARIT BUNTAR,YB DATUK SERI DR,MUJAHID YUSOF RAWA,1965,male,bumiputera,PH - AMANAH,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.057-PARIT BUNTAR.png,,1248,,2990,80
14,P058,Perak,BAGAN SERAI,YB DATO' DR HAJI,NOOR AZMI BIN GHAZALI,1962,male,bumiputera,BN - UMNO > BERSATU,Timbalan Menteri Kesihatan I,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.058-BAGAN SERAI.png,,1268,,3724,282
14,P059,Perak,BUKIT GANTANG,YB DATO',SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL,1961,male,bumiputera,BN - UMNO > BEBAS > BERSATU,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.059-BUKIT GANTANG.png,,1346,,4095,362
14,P060,Perak,TAIPING,YB TUAN,TEH KOK LIM,1970,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.060-TAIPING.png,,1356,,4099,363
14,P061,Perak,PADANG RENGAS,YB DATO' SERI,MOHAMED NAZRI BIN ABDUL AZIZ,1954,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.061-PADANG RENGAS.png,,560,766,2368,43
14,P062,Perak,SUNGAI SIPUT,YB TUAN,KESAVAN A/L SUBRAMANIAM,1972,male,indian,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.062-SUNGAI SIPUT.png,,1147,,4102,364
14,P063,Perak,TAMBUN,YB DATO' SERI,AHMAD FAIZAL BIN AZUMU,1971,male,bumiputera,BERSATU,Menteri Belia dan Sukan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.063-TAMBUN.png,,1023,,4104,365
14,P064,Perak,IPOH TIMUR,YB TUAN,WONG KAH WOH,1980,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.064-IPOH TIMUR.png,,1381,,4105,366
