vol,kod_kawasan,negeri,kawasan,gelaran,nama,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,remarks,id,uid,new_id,index,tahun_lahir
1,P001,Perlis,Perlis Utara,Tuan,Othman Bin Abdullah,male,bumiputera,Perikatan - UMNO,,,,,698,,,74.0,
1,P002,Perlis,Perlis Selatan,Tuan Haji,Mokhtar Bin Haji Ismail,male,bumiputera,Perikatan - UMNO,,,,,631,,,69.0,
1,P003,Kedah,Jitra,Datin,Fatimah Binti Haji Hashim,female,bumiputera,Perikatan - UMNO,,,,,254,,,30.0,
1,P004,Kedah,Kubang Pasu Barat,Tuan Haji,Azahari Bin Haji Ibrahim,male,bumiputera,Perikatan - UMNO,,,,,152,,,19.0,
1,P005,Kedah,Kota Star Utara,Tuan Haji,Abdul Khalid Bin Awang Osman,male,bumiputera,Perikatan - UMNO,,,,,38,,,3.0,
1,P006,Kedah,Alor Setar,Tuan,Lim Joo Kong,male,chinese,Perikatan - MCA,,,,,464,,,55.0,
1,P007,Kedah,Kuala Kedah,Y.T.M. Tunku,Abdul Rahman Putra AlHaj,male,bumiputera,Perikatan - UMNO,Perdana Menteri,,,,57,,,5.0,
1,P008,Kedah,Kota Star Selatan,Tuan,Wan Sulaiman Bin Wan Tam,male,bumiputera,Perikatan - UMNO,,,,,933,,,99.0,
1,P010,Kedah,Jerai,Tuan,Mohamed Ismail Bin Mohd. Yusof,male,bumiputera,Perikatan - UMNO,,,,,555,,,64.0,
1,P011,Kedah,Baling,Tuan,Harun Bin Abdullah,male,bumiputera,Perikatan - UMNO,,,,,294,,,34.0,
1,P012,Kedah,Sungei Petani,Tuan,Abdul Samad Bin Osman,male,bumiputera,Perikatan - UMNO,,,,,67,,,9.0,
1,P013,Kedah,Kulim Utara,Tuan,Hanafi Bin Mohd. Yunus,male,bumiputera,Perikatan - UMNO,,,,,289,,,33.0,
1,P014,Kedah,Kulim,Tuan,Tan Tye Chek,male,chinese,Perikatan - MCA,,,,,875,,,91.0,
1,P015,Kelantan,Tumpat,Tuan Haji,Hassan Bin Haji Ahmad,male,bumiputera,PAS,,,,,308,,,37.0,
1,P016,Kelantan,Kelantan Hilir,Tuan,Wan Mustapha Bin Haji Ali,male,bumiputera,PAS,,,,,929,,,98.0,
1,P017,Kelantan,Pasir Mas Hilir,Tuan,Nik Man Bin Nik Mohamed,male,bumiputera,PAS,,,,,675,,,71.0,
1,P018,Kelantan,Kota Bharu Hilir,Tuan Haji,Ahmad Bin Abdullah,male,bumiputera,PAS,,,,,99,,,12.0,
1,P019,Kelantan,Bachok,Tuan,Zulkiflee bin Muhammad,male,bumiputera,PAS,,,,,994,,,107.0,
1,P020,Kelantan,Kota Baru Hulu,Tuan Haji,Hussin Rahimi Bin Haji Saman,male,bumiputera,PAS,,,,,331,,,39.0,
1,P021,Kelantan,Pasir Mas Hulu,Dato',Mohamed Hanifah Bin Haji Abdul Ghani,male,bumiputera,PAS,,,,,552,,,63.0,
1,P022,Kelantan,Pasir Puteh,Tuan,Mohamed Asri Bin Haji Muda,male,bumiputera,PAS,,,,,540,,,60.0,
1,P023,Kelantan,Tanah Merah,Tuan,Othman Bin Haji Abdullah,male,bumiputera,PAS,,,,,699,,,75.0,
1,P024,Kelantan,Ulu Kelantan,Tengku,Indra Petra Bin Sultan Ibrahim,male,bumiputera,Perikatan - UMNO,,,,,347,,,43.0,
1,P025,Terengganu,Besut,Dr.,Burhanuddin Bin Mohd. Noor,male,bumiputera,PAS,,,,,179,,,22.0,
1,P026,Terengganu,Kuala Terengganu Utara,Tuan Haji,Hasan Adli Bin Haji Arshad,male,bumiputera,PAS,,,,,296,,,36.0,
1,P027,Terengganu,Kuala Terengganu Selatan,,Ismail Kassim,male,bumiputera,Perikatan - UMNO,,,,,357,,,46.0,
1,P027,Terengganu,Kuala Terengganu Selatan,Dato',Onn Bin Jaafar,male,bumiputera,Negara,,,,death,692,,,73.0,
1,P028,Terengganu,Dungun,Puan,Khadijah Binti Mohd. Sidik,female,bumiputera,PAS,,,,,416,,,49.0,
1,P029,Terengganu,Kemaman,Tuan,Wan Yahya Bin Haji Wan Mohamed,male,bumiputera,Perikatan - UMNO,,,,,934,,,100.0,
1,P030,Terengganu,Terengganu Tengah,Tuan,Harun Bin Pilus,male,bumiputera,PAS,,,,,295,,,35.0,
1,P031,Pulau Pinang,Bagan,Tuan,Tan Cheng Bee,male,chinese,Perikatan - MCA,,,,,861,,,87.0,
1,P032,Pulau Pinang,Seberang Tengah,Tuan,Ibrahim Bin Abdul Rahman,male,bumiputera,Perikatan - UMNO,,,,,333,,,40.0,
1,P033,Pulau Pinang,Seberang Selatan,Tuan,V.Veerappen,male,indian,BS - Buruh,,,,,908,,,96.0,
1,P034,Pulau Pinang,Penang Utara,Tuan,Geh Chong Keat,male,chinese,Perikatan - MCA,,,,,269,,,31.0,
1,P035,Pulau Pinang,Penang Selatan,Tuan,Ismail Bin Idris,male,bumiputera,Perikatan - UMNO,,,,,354,,,45.0,
1,P036,Pulau Pinang,Tanjong,Tuan,Tan Phock Kin,male,chinese,BS - Buruh,,,,,869,,,89.0,
1,P037,Pulau Pinang,Dato' Keramat,Tuan,Lim Kean Siew,male,chinese,BS - Buruh,,,,,465,,,56.0,
1,P038,Pulau Pinang,Seberang Utara,Tuan Haji,Ahmad Bin Saaid,male,bumiputera,Perikatan - UMNO,,,,,106,,,16.0,
1,P039,Perak,Ulu Perak,Tuan,Mohamed Nor Bin Mohd. Dahan,male,bumiputera,Perikatan - UMNO,,,,,563,,,66.0,
1,P040,Perak,Krian Laut,Tuan,Abdul Rauf Bin A. Rahman,male,bumiputera,Perikatan - UMNO,,,,,61,,,6.0,
1,P041,Perak,Krian Darat,Tuan,Ahmad Bin Haji Yusof,male,bumiputera,Perikatan - UMNO,,,,,102,,,14.0,
1,P042,Perak,Larut Utara,Tuan,Tajudin Bin Ali,male,bumiputera,Perikatan - UMNO,,,,,856,,,86.0,
1,P043,Perak,Larut Selatan,Tuan,Lim Swee Aun,male,chinese,Perikatan - MCA,,,,,476,,,57.0,
1,P044,Perak,Bruas,Tuan,Yeoh Tat Beng,male,chinese,Bebas,,,,,960,,,103.0,
1,P045,Perak,Sitiawan,Tuan,Yong Woo Ming,male,chinese,Perikatan - MCA,,,,,970,,,104.0,
1,P046,Perak,Sungei Siput,Dato',V.T. Sambanthan,male,indian,Perikatan - MIC,,,,,909,,,97.0,
1,P047,Perak,Kuala Kangsar,Tuan Haji,Abdullah Bin Haji Abdul Raof,male,bumiputera,Perikatan - UMNO,,,,,74,,,10.0,
1,P048,Perak,Parit,Tuan,Hussein Bin Mohd Noordin,male,bumiputera,Perikatan - UMNO,,,,,335,,,41.0,
1,P049,Perak,Ulu Kinta,Tuan,Chan Swee Ho,male,chinese,PPP,,,,,189,,,25.0,
