kod_kawasan,kawasan,nama,parti,negeri,vol
P119,Darvel,Mohd. Salleh Abdullah,USNO,Sabah,3
P120,Tawau,Yeh Pao Tzu,SCA,Sabah,3
P121,Bau-Lundu,Joseph Valentine Cotter,SUPP,Sarawak,3
P121,Bau-Lundu,Sinyium Mutit,SUPP,Sarawak,3
P122,Bandar Kuching,Ong Kee Hui,SUPP,Sarawak,3
P123,Santubong,Awang Wal Awang Abu,Bumiputera,Sarawak,3
P124,Samarahan,Abdul Taib Mahmud,Bumiputera,Sarawak,3
P125,Padawan,Stephen Yong Kuet Tze,SUPP,Sarawak,3
P126,Serian,Rahun Debak,SNAP,Sarawak,3
P127,Simunjan,Bojeng Andot,Bumiputera,Sarawak,3
P128,Batang Lupar,Edwin Tangkun,SNAP,Sarawak,3
P129,Lubok Antu,Jonathan Narwin Jinggong,SNAP,Sarawak,3
P130,Betong,Andrew Mara Walter Unjah,SNAP,Sarawak,3
P131,Saratok,Edmund Langgu Saga,SNAP,Sarawak,3
P132,Sarikei,Chen Ko Ming,SCA,Sarawak,3
P133,Payang,Abdul Rahman Ya'kub,Bumiputera,Sarawak,3
P134,Bandar Sibu,Khoo Peng Loong,SUPP,Sarawak,3
P135,Rajang,Jawan Empaling,SUPP,Sarawak,3
P135,Rajang,Tibuoh Rantai,SUPP,Sarawak,3
P136,Mukah,Latip Idris,Bumiputera,Sarawak,3
P137,Julau,Banyang Janting,Pesaka,Sarawak,3
P138,Kanowit,Joseph Unting Umang,Bebas,Sarawak,3
P139,Kapit,Abit Angkin,SNAP,Sarawak,3
P140,Ulu Rajang,Jugah Barieng,Pesaka,Sarawak,3
P141,Bintulu,Ting Ming Kiong,SCA,Sarawak,3
P142,Miri-Subis,James Wong Kim Min,SNAP,Sarawak,3
P143,Baram,Luhat Wan,SNAP,Sarawak,3
P144,Limbang-Lawas,Awang Bungsu Abdullah,SNAP,Sarawak,3
P001,Kangar,Shaari Jusoh,BN (UMNO),Perlis,4
P002,Arau,Syed Hassan Syed Mohamed,BN (UMNO),Perlis,4
P003,Jerlun-Langkawi,Syed Nahar Syed Sheh Shahabuddin,BN (UMNO),Kedah,4
P004,Kubang Pasu,Mahathir Mohamad,BN (UMNO),Kedah,4
P005,Padang Terap,Ahmad Shukri Abdul Shukur,BN (PAS),Kedah,4
P006,Kuala Kedah,Senu Abdul Rahman,BN (UMNO),Kedah,4
P007,Alor Setar,Oo Gin Sun,BN (MCA),Kedah,4
P008,Kota Setar,Abu Bakar Umar,BN (PAS),Kedah,4
P009,Ulu Muda,Yusof Rawa,BN (PAS),Kedah,4
P010,Baling,Shafie Abdullah,BN (UMNO),Kedah,4
P011,Jerai,Sanusi Junid,BN (UMNO),Kedah,4
P012,Kuala Muda,Khir Johari,BN (UMNO),Kedah,4
P013,Sungei Patani,Wan Zainab M. A. Bakar,BN (UMNO),Kedah,4
P014,Padang Serai,Lim Kiam Hoon,BN (MCA),Kedah,4
P015,Kulim-Bandar Bahru,Azahari Md. Taib,BN (UMNO),Kedah,4
P016,Tumpat,Tengku Noor Asiah Tengku Ahmad,BN (UMNO),Kelantan,4
P017,Pengkalan Chepa,Nik Abdul Aziz Nik Mat,BN (PAS),Kelantan,4
P018,Pasir Mas,Tengku Zaid Tengku Ahmad,BN (PAS),Kelantan,4
P019,Kota Bharu,Tengku Ahmad Rithauddeen Tengku Ismail,BN (UMNO),Kelantan,4
P020,Bachok,Mohd Zain Abdullah,BN (PAS),Kelantan,4
P021,Rantau Panjang,Zakaria Ismail,BN (PAS),Kelantan,4
P022,Nilam Puri,Mohamad Asri Muda,BN (PAS),Kelantan,4
P023,Tanah Merah,Mohamed Yaacob,BN (UMNO),Kelantan,4
P024,Machang,Abdullah Ahmad,BN (UMNO),Kelantan,4
P025,Pasir Puteh,Wan Sulaiman Ibrahim,BN (PAS),Kelantan,4
P026,Kuala Krai,Mohd. Zahari Awang,BN (PAS),Kelantan,4
P027,Ulu Kelantan,Tengku Razaleigh Hamzah,BN (UMNO),Kelantan,4
P028,Besut,Zakaria Abdul Rahman,BN (UMNO),Terengganu,4
P029,Ulu Nerus,Lukman Abdul Kadir,BN (PAS),Terengganu,4
P030,Ulu Trengganu,Engku Muhsein Abdul Kadir,BN (UMNO),Terengganu,4
P031,Kuala Nerus,Nik Hassan Abdul Rahman,BN (UMNO),Terengganu,4
P032,Kuala Trengganu,Mustafa Ali,BN (PAS),Terengganu,4
P033,Dungun,Abdul Wahab Yunus,BN (PAS),Terengganu,4
P034,Kemaman,Abdul Manan Othman from 8 May 1976[N 1],BN (UMNO),Terengganu,4
P034,Kemaman,Wan Abdul Kadir Ismail until 14 March 1976,BN (UMNO),Terengganu,4
P035,Kepala Batas,Mohamed Sopiee Sheikh Ibrahim,BN (UMNO),Pulau Pinang,4
P036,Mata Kuching,Ling Liong Sik,BN (MCA),Pulau Pinang,4
P037,Permatang Pauh,Ismail Musa,BN (UMNO),Pulau Pinang,4
P038,Bukit Mertajam,Tan Cheng Bee,BN (MCA),Pulau Pinang,4
P039,Nibong Tebal,Goh Cheng Teik,BN (Gerakan),Pulau Pinang,4
P040,Balik Pulau,Shamsuri Md. Salleh,BN (UMNO),Pulau Pinang,4
P041,Bukit Bendera,Albert Mah,BN (MCA),Pulau Pinang,4
P042,Tanjong,Lim Chong Eu,BN (Gerakan),Pulau Pinang,4
P043,Jelutong,Rasiah Rajasingam,BN (Gerakan),Pulau Pinang,4
P044,Gerik,Shamsuddin Din,BN (UMNO),Perak,4
P045,Larut,Kamaruddin Mohamed Isa,BN (UMNO),Perak,4
P046,Parit Buntar,Sulaiman Taib,BN (UMNO),Perak,4
P047,Bagan Serai,Ramli Omar,BN (UMNO),Perak,4
P048,Sungei Siput,Samy Vellu,BN (MIC),Perak,4
P049,Taiping,Paul Leong Khee Seong,BN (Gerakan),Perak,4
P050,Matang,Hashim Ghazali,BN (UMNO),Perak,4
P051,Padang Rengas,Abdul Aziz Yeop,BN (UMNO),Perak,4
P052,Kuala Kangsar,Oon Zariah Abu Bakar,BN (UMNO),Perak,4
P053,Kinta,Ngan Siong Hin,DAP,Perak,4
P054,Ipoh,Lim Cho Hock,DAP,Perak,4
P055,Menglembu,Fan Yew Teng,DAP,Perak,4
P056,Bruas,Su Liang Yu,BN (PPP),Perak,4
P057,Parit,Mohd. Bakri Abdul Rais,BN (UMNO),Perak,4
P058,Batu Gajah,Chian Heng Kai,DAP,Perak,4
P059,Batang Padang,Azharul Abidin Abdul Rahim,BN (UMNO),Perak,4
P060,Lumut,Richard Ho Ung Hun,BN (MCA),Perak,4
P061,Hilir Perak,Abu Bakar Arshad,BN (UMNO),Perak,4
P062,Telok Anson,Au How Cheong,BN (Gerakan),Perak,4
P063,Tanjong Malim,Mak Hon Kam,BN (MCA),Perak,4
P064,Bagan Datok,Hassan Adli Arshad,BN (PAS),Perak,4
P065,Lipis,Ghazali Shafie,BN (UMNO),Pahang,4
P066,Jerantut,Shariff Ahmad,BN (UMNO),Pahang,4
P067,Kuantan,Mohd Ali M. Shariff,BN (UMNO),Pahang,4
P068,Raub,Abdullah Majid,BN (UMNO),Pahang,4
P069,Maran,Hishamuddin Yahaya,BN (UMNO),Pahang,4
P070,Bentong,Chan Siang Sun,BN (MCA),Pahang,4
P071,Pekan,Najib Razak from 21 February 1976[N 2],BN (UMNO),Pahang,4
P071,Pekan,Abdul Razak Hussein until 14 January 1976,BN (UMNO),Pahang,4
P072,Temerloh,Hamzah Abu Samah,BN (UMNO),Pahang,4
P073,Sabak Bernam,Mustapha Abdul Jabar,BN (UMNO),Selangor,4
P074,Tanjong Karang,Jamil Ishak,BN (UMNO),Selangor,4
P075,Ulu Selangor,Michael Chen Wing Sum,BN (MCA),Selangor,4
P076,Kuala Selangor,Raja Nasron Raja Ishak,BN (UMNO),Selangor,4
P077,Selayang,Rosemary Chow Poh Kheng from 14 June 1975[N 3],BN (MCA),Selangor,4
P077,Selayang,Walter Loh Poh Khan until 23 April 1975,BN (MCA),Selangor,4
P078,Ulu Langat,Lee Siok Yew,BN (MCA),Selangor,4
P079,Pelabuhan Kelang,V. Manickavasagam,BN (MIC),Selangor,4
P080,Shah Alam,Lew Sip Hon,BN (MCA),Selangor,4
P081,Petaling,Oh Keng Seng,DAP,Selangor,4
P082,Kuala Langat,Aishah Ghani,BN (UMNO),Selangor,4
P083,Sepang,Suhaimi Kamaruddin,BN (UMNO),Selangor,4
P084,Kepong,Tan Chee Khoon,Pekemas,Wilayah Persekutuan Kuala Lumpur,4
P085,Setapak,Mohd. Idris Ibrahim,BN (UMNO),Wilayah Persekutuan Kuala Lumpur,4
P086,Damansara,Subramaniam Sinniah,BN (MIC),Wilayah Persekutuan Kuala Lumpur,4
P087,Kuala Lumpur Bandar,Lee Lam Thye,DAP,Wilayah Persekutuan Kuala Lumpur,4
P088,Sungei Besi,Farn Seong Than,DAP,Wilayah Persekutuan Kuala Lumpur,4
P089,Jelebu,Rais Yatim,BN (UMNO),Negeri Sembilan,4
P090,Mantin,Lee Boon Peng,BN (MCA),Negeri Sembilan,4
P091,Seremban,Chen Man Hin,DAP,Negeri Sembilan,4
P092,Kuala Pilah,Abdul Samad Idris,BN (UMNO),Negeri Sembilan,4
P093,Telok Kemang,K. Pathmanaban,BN (MIC),Negeri Sembilan,4
P094,Tampin,Mokhtar Hashim,BN (UMNO),Negeri Sembilan,4
P095,Alor Gajah,Ghafar Baba,BN (UMNO),Melaka,4
P096,Jasin,Ahmad Ithnin,BN (UMNO),Melaka,4
P097,Batu Berendam,Chong Hon Nyan,BN (MCA),Melaka,4
P098,Kota Melaka,Lim Kit Siang,DAP,Melaka,4
P099,Labis,Musa Hitam,BN (UMNO),Johor,4
P100,Segamat,Lee San Choon,BN (MCA),Johor,4
P101,Kluang,Loh Fook Yen,BN (MCA),Johor,4
P102,Tenggaroh,Abdul Kadir Yusuf,BN (UMNO),Johor,4
P103,Ledang,Embong Yahya,BN (UMNO),Johor,4
P104,Pagoh,Syed Nasir Ismail (Deputy Speaker),BN (UMNO),Johor,4
P105,Ayer Hitam,Hee Tien Lai,BN (MCA),Johor,4
P106,Muar,Neo Yee Pan,BN (MCA),Johor,4
P107,Renggam,Chin Hon Ngian,BN (MCA),Johor,4
P108,Panti,Saadun Muhammad Noh from 24 February 1977[N 4],BN (UMNO),Johor,4
P108,Panti,Syed Jaafar Albar until 14 January 1977,BN (UMNO),Johor,4
P109,Sri Gading,Hussein Onn,BN (UMNO),Johor,4
P110,Semerah,Fatimah Abdul Majid,BN (UMNO),Johor,4
P111,Batu Pahat,Abdul Jalal Abu Bakar,BN (UMNO),Johor,4
P112,Pontian,Ikhwan Nasir from 28 January 1978[N 5],BN (UMNO),Johor,4
P112,Pontian,Ali Ahmad until 4 December 1977,BN (UMNO),Johor,4
P113,Pulai,Mohamed Rahmat,BN (UMNO),Johor,4
P114,Johore Bahru,Jaafar Hamzah,BN (UMNO),Johor,4
P115,Marudu,Mustapha Harun,BN (USNO),Sabah,4
P116,Bandau,Madina Unggut,BN (USNO),Sabah,4
P117,Kota Belud,Mohamed Said Keruak,BN (USNO),Sabah,4
P118,Labuk-Sugut,Ajad Oyung,BN (USNO),Sabah,4
P119,Tuaran,Buja Gumbilai,BN (USNO),Sabah,4
P120,Kinabalu,Abdul Ghani Gilong,BN (USNO),Sabah,4
P121,Gaya,Peter Lo Sui Yin,BN (SCA),Sabah,4
P122,Penampang,James Stephen Tibok,BN (USNO),Sabah,4
P123,Sandakan,Peter Lim Pui Ho,BN (SCA),Sabah,4
P124,Kinabatangan,Pengiran Ahmad Pengiran Indar,BN (USNO),Sabah,4
P125,Kimanis,Pengiran Aliuddin Pengiran Tahir from 29 January 1977[N 6],IND,Sabah,4
P125,Kimanis,Pengiran Tahir Pengiran Petra until 2 December 1976,BN (USNO),Sabah,4
P126,Hilir Padas,Mohammad Taufeck Asneh,BN (USNO),Sabah,4
P127,Keningau,Harris Salleh from 30 July 1977[N 7],BN (BERJAYA),Sabah,4
P127,Keningau,Stephen Robert Evans until 1 June 1977,BN (USNO),Sabah,4
P128,Silam,Mohd. Salleh Abdullah,BN (USNO),Sabah,4
P129,Ulu Padas,Abdul Rashid Jais,BN (USNO),Sabah,4
P130,Tawau,Alex Pang Sui Chee,BN (SCA),Sabah,4
P131,Bau-Lundu,Patrick Uren,SNAP,Sarawak,4
P132,Bandar Kuching,Ong Kee Hui,BN (SUPP),Sarawak,4
P133,Santubong,Sulaiman Daud,BN (PBB),Sarawak,4
P134,Samarahan,Abdul Taib Mahmud,BN (PBB),Sarawak,4
P135,Padawan,Stephen Yong Kuet Tze,BN (SUPP),Sarawak,4
P136,Serian,Richard Damping Laki,BN (SUPP),Sarawak,4
P137,Simunjan,Hadadak D. Pasauk,BN (PBB),Sarawak,4
P138,Batang Lupar,Edwin Tangkun,SNAP,Sarawak,4
P139,Lubok Antu,Jonathan Narwin Jinggong,SNAP,Sarawak,4
P140,Betong,Wairy Leben Kato,BN (PBB),Sarawak,4
P141,Saratok,Edmund Langgu Saga,SNAP,Sarawak,4
P142,Sarikei,Chieng Tiong Kai,BN (SUPP),Sarawak,4
P143,Payang,Abdul Rahman Ya'kub,BN (PBB),Sarawak,4
P144,Bandar Sibu,Wee Ho Soon,BN (SUPP),Sarawak,4
P145,Rajang,Jawan Empaling,BN (SUPP),Sarawak,4
P146,Mukah,Latip Idris,BN (PBB),Sarawak,4
P147,Julau,Thomas Salang Siden,SNAP,Sarawak,4
P148,Kanowit,Leo Moggie Irok,SNAP,Sarawak,4
P149,Kapit,Abit Angkin,BN (PBB),Sarawak,4
P150,Ulu Rajang,Sibat Miyut Tagong,SNAP,Sarawak,4
P151,Bintulu,Ting Ling Kiew,SNAP,Sarawak,4
P152,Miri-Subis,Yang Siew Siang,BN (SUPP),Sarawak,4
P153,Baram,Luhat Wan,SNAP,Sarawak,4
P154,Limbang-Lawas,Racha Umong,BN (PBB),Sarawak,4
P001,Kangar,Shaari Jusoh,BN (UMNO),Perlis,5
P002,Arau,Syed Hassan Syed Mohamed,BN (UMNO),Perlis,5
P003,Jerlun-Langkawi,Sanusi Junid,BN (UMNO),Kedah,5
P004,Kubang Pasu,Mahathir Mohamad,BN (UMNO),Kedah,5
P005,Padang Terap,Syed Ahmad Syed Mahmud Shahabuddin,BN (UMNO),Kedah,5
P006,Kuala Kedah,Senu Abdul Rahman,BN (UMNO),Kedah,5
P007,Alor Setar,Oo Gin Sun,BN (MCA),Kedah,5
P008,Kota Setar,Abu Bakar Umar,PAS,Kedah,5
P009,Ulu Muda,Hashim Endut,BN (UMNO),Kedah,5
P010,Baling,Mohd Nakhaie Ahmad,PAS,Kedah,5
P011,Jerai,Ismail Arshad,BN (UMNO),Kedah,5
P012,Kuala Muda,Khir Johari,BN (UMNO),Kedah,5
P013,Sungei Patani,Wan Zainab M. A. Bakar,BN (UMNO),Kedah,5
P014,Padang Serai,Lim Kiam Hoon,BN (MCA),Kedah,5
P015,Kulim-Bandar Bahru,Abdul Kadir Sheikh Fadzir,BN (UMNO),Kedah,5
P016,Tumpat,Tengku Noor Asiah Tengku Ahmad,BN (UMNO),Kelantan,5
P017,Pengkalan Chepa,Nik Abdul Aziz Nik Mat,PAS,Kelantan,5
P018,Pasir Mas,Abdul Rahman Daud,BN (UMNO),Kelantan,5
P019,Kota Bharu,Tengku Ahmad Rithauddeen Tengku Ismail,BN (UMNO),Kelantan,5
P020,Bachok,Mohd Zain Abdullah,PAS,Kelantan,5
P021,Rantau Panjang,Ibrahim Muhammad,BN (UMNO),Kelantan,5
P022,Nilam Puri,Mohamed Ali,BN (UMNO),Kelantan,5
P023,Tanah Merah,Hussein Mahmood,BN (UMNO),Kelantan,5
P024,Machang,Mohd. Kassim Ahmed,BN (UMNO),Kelantan,5
P025,Pasir Puteh,Wan Mohd. Najib Wan Mohamad,BN (UMNO),Kelantan,5
P026,Kuala Krai,Nik Hussein Wan Abdul Rahman,BN (UMNO),Kelantan,5
P027,Ulu Kelantan,Tengku Razaleigh Hamzah,BN (UMNO),Kelantan,5
P028,Besut,Zakaria Abdul Rahman,BN (UMNO),Terengganu,5
P029,Ulu Nerus,Abdullah Abdul Rahman,BN (UMNO),Terengganu,5
P030,Ulu Trengganu,Alias Md. Ali,BN (UMNO),Terengganu,5
P031,Kuala Nerus,Nik Hassan Abdul Rahman,BN (UMNO),Terengganu,5
P032,Kuala Trengganu,Abdul Manan Othman,BN (UMNO),Terengganu,5
P033,Dungun,Awang Jabar,BN (UMNO),Terengganu,5
P034,Kemaman,Ismail Said,BN (UMNO),Terengganu,5
P035,Kepala Batas,Abdullah Ahmad Badawi,BN (UMNO),Pulau Pinang,5
P036,Mata Kuching,Ling Liong Sik,BN (MCA),Pulau Pinang,5
P037,Permatang Pauh,Zabidi Ali,PAS,Pulau Pinang,5
P038,Bukit Mertajam,Seow Hun Khim,DAP,Pulau Pinang,5
P039,Nibong Tebal,Goh Cheng Teik,BN (Gerakan),Pulau Pinang,5
P040,Balik Pulau,Shamsuri Md. Salleh,BN (UMNO),Pulau Pinang,5
P041,Bukit Bendera,Peter Paul Dason,DAP,Pulau Pinang,5
P042,Tanjong,Wong Hoong Keat,DAP,Pulau Pinang,5
P043,Jelutong,Karpal Singh,DAP,Pulau Pinang,5
P044,Gerik,Tajol Rosli Mohd Ghazali,BN (UMNO),Perak,5
P045,Larut,Kamaruddin Mohamed Isa,BN (UMNO),Perak,5
P046,Parit Buntar,Idris Abdul Rauf,BN (UMNO),Perak,5
P047,Bagan Serai,Ramli Omar,BN (UMNO),Perak,5
P048,Sungei Siput,Samy Vellu,BN (MIC),Perak,5
P049,Taiping,Paul Leong Khee Seong,BN (Gerakan),Perak,5
P050,Matang,Hashim Ghazali,BN (UMNO),Perak,5
P051,Padang Rengas,Umar Ismail,BN (UMNO),Perak,5
P052,Kuala Kangsar,Yong Fatimah Mohd. Razali,BN (UMNO),Perak,5
P053,Kinta,Yang Choong Fu,BN (MCA),Perak,5
P054,Ipoh,Lim Cho Hock,DAP,Perak,5
P055,Menglembu,P. Patto,DAP,Perak,5
P056,Bruas,Ting Chek Ming,DAP,Perak,5
P057,Parit,Mohd. Bakri Abdul Rais,BN (UMNO),Perak,5
P058,Batu Gajah,Chian Heng Kai,DAP,Perak,5
P059,Batang Padang,Azharul Abidin Abdul Rahim,BN (UMNO),Perak,5
P060,Lumut,Richard Ho Ung Hun,BN (MCA),Perak,5
P061,Hilir Perak,Kamaluddin Maamor,BN (UMNO),Perak,5
P062,Telok Anson,Au How Cheong,BN (Gerakan),Perak,5
P063,Tanjong Malim,Mak Hon Kam,BN (MCA),Perak,5
P064,Bagan Datok,Hassan Adli Mohd Arshad,BN (UMNO),Perak,5
P065,Lipis,Ghazali Shafie,BN (UMNO),Pahang,5
P066,Jerantut,Shariff Ahmad,BN (UMNO),Pahang,5
P067,Kuantan,Mohd Ali M. Shariff,BN (UMNO),Pahang,5
P068,Raub,Tan Koon Swan,BN (MCA),Pahang,5
P069,Maran,Hishamuddin Yahaya,BN (UMNO),Pahang,5
P070,Bentong,Chan Siang Sun,BN (MCA),Pahang,5
P071,Pekan,Najib Razak,BN (UMNO),Pahang,5
P072,Temerloh,Hamzah Abu Samah,BN (UMNO),Pahang,5
P073,Sabak Bernam,Jamaluddin Suhaimi,BN (UMNO),Selangor,5
P074,Tanjong Karang,Abdul Shukur Siraj,BN (UMNO),Selangor,5
P075,Ulu Selangor,Michael Chen Wing Sum,BN (MCA),Selangor,5
P075,Ulu Selangor,Michael Chen Wing Sum,BN (Gerakan),Selangor,5
P076,Kuala Selangor,Abu Hassan Omar,BN (UMNO),Selangor,5
P077,Selayang,Rafidah Aziz,BN (UMNO),Selangor,5
P078,Ulu Langat,Rosemary Chow Poh Kheng,BN (MCA),Selangor,5
P079,Pelabuhan Kelang,V. Govindaraj from 1 December 1979[N 1],BN (MIC),Selangor,5
P079,Pelabuhan Kelang,V. Manickavasagam until 12 October 1979,BN (MIC),Selangor,5
P080,Shah Alam,Lew Sip Hon,BN (MCA),Selangor,5
P081,Petaling,Lim Kit Siang,DAP,Selangor,5
P082,Kuala Langat,Aishah Ghani,BN (UMNO),Selangor,5
P083,Sepang,Suhaimi Kamaruddin,BN (UMNO),Selangor,5
P084,Kepong,Tan Tiong Hong,BN (Gerakan),Wilayah Persekutuan Kuala Lumpur,5
P085,Setapak,Mohd. Idris Ibrahim,BN (UMNO),Wilayah Persekutuan Kuala Lumpur,5
P086,Damansara,V. David,DAP,Wilayah Persekutuan Kuala Lumpur,5
P087,Kuala Lumpur Bandar,Lee Lam Thye,DAP,Wilayah Persekutuan Kuala Lumpur,5
P088,Sungei Besi,Chan Kok Kit,DAP,Wilayah Persekutuan Kuala Lumpur,5
P089,Jelebu,Abdul Samad Idris,BN (UMNO),Negeri Sembilan,5
P090,Mantin,Lee Boon Peng,BN (MCA),Negeri Sembilan,5
P091,Seremban,Chen Man Hin,DAP,Negeri Sembilan,5
P092,Kuala Pilah,Mansor Othman (Deputy Speaker),BN (UMNO),Negeri Sembilan,5
P093,Telok Kemang,K. Pathmanaban,BN (MIC),Negeri Sembilan,5
P094,Tampin,Mokhtar Hashim,BN (UMNO),Negeri Sembilan,5
P095,Alor Gajah,Rahim Thamby Chik,BN (UMNO),Melaka,5
P096,Jasin,Ghafar Baba,BN (UMNO),Melaka,5
P097,Batu Berendam,Chong Hon Nyan,BN (MCA),Melaka,5
P098,Kota Melaka,Chan Teck Chan,DAP,Melaka,5
P099,Labis,Musa Hitam,BN (UMNO),Johor,5
P100,Segamat,Lee San Choon,BN (MCA),Johor,5
P101,Kluang,Lee Kaw,DAP,Johor,5
P102,Tenggaroh,Abdul Kadir Yusuf,BN (UMNO),Johor,5
P103,Ledang,Embong Yahaya,BN (UMNO),Johor,5
P104,Pagoh,Muhyiddin Yassin,BN (UMNO),Johor,5
P105,Ayer Hitam,Hee Tien Lai,BN (MCA),Johor,5
P106,Muar,Neo Yee Pan,BN (MCA),Johor,5
P107,Renggam,Chin Hon Ngian,BN (MCA),Johor,5
P108,Panti,Yusof Malim Kuning,BN (UMNO),Johor,5
P109,Sri Gading,Mustaffa Mohammad from 26 September 1981[N 2],BN (UMNO),Johor,5
P109,Sri Gading,Hussein Onn until 11 August 1981,BN (UMNO),Johor,5
P110,Semerah,Shariffah Dorah Syed Mohammed,BN (UMNO),Johor,5
P111,Batu Pahat,Abdul Jalal Abu Bakar,BN (UMNO),Johor,5
P112,Pontian,Ikhwan Nasir,BN (UMNO),Johor,5
P113,Pulai,Mohamed Rahmat,BN (UMNO),Johor,5
P114,Johore Bahru,Shahrir Abdul Samad,BN (UMNO),Johor,5
P115,Marudu,Ashkar Hasbollah,BN (USNO),Sabah,5
P116,Bandau,George Abah Mengimbal,BN (BERJAYA),Sabah,5
P117,Kota Belud,Mohamed Said Keruak,BN (USNO),Sabah,5
P118,Labuk-Sugut,Ampong Puyon,BN (USNO),Sabah,5
P119,Tuaran,James Peter Ongkili,BN (BERJAYA),Sabah,5
P120,Kinabalu,Mark Koding,IND,Sabah,5
P121,Gaya,William Lye Chee Hien,BN (BERJAYA),Sabah,5
P122,Penampang,Clarence E. Mansul,BN (BERJAYA),Sabah,5
P123,Sandakan,Fung Ket Wing,DAP,Sabah,5
P124,Kinabatangan,Abdul Ghani Misbah,BN (BERJAYA),Sabah,5
P125,Kimanis,Pengiran Othman Pengiran Rauf from 9 April 1981[N 3],BN (BERJAYA),Sabah,5
P125,Kimanis,Pengiran Aliuddin Pengiran Tahir until 9 March 1981,IND,Sabah,5
P126,Hilir Padas,Mohammad Taufeck Asneh,BN (USNO),Sabah,5
P127,Keningau,Stephen Robert Evans,BN (BERJAYA),Sabah,5
P128,Silam,Sakaran Dandai,BN (USNO),Sabah,5
P129,Ulu Padas,Harris Salleh,BN (BERJAYA),Sabah,5
P130,Tawau,Hiew Nyuk Ying,BN (BERJAYA),Sabah,5
P131,Mas Gading,Patrick Uren,BN (SNAP),Sarawak,5
P132,Bandar Kuching,Ong Kee Hui,BN (SUPP),Sarawak,5
P133,Santubong,Sulaiman Daud,BN (PBB),Sarawak,5
P134,Samarahan,Abdul Taib Mahmud,BN (PBB),Sarawak,5
P135,Padawan,Stephen Yong Kuet Tze,BN (SUPP),Sarawak,5
P136,Serian,Richard Damping Laki,BN (SUPP),Sarawak,5
P137,Simunjan,Bujang Ulis,BN (PBB),Sarawak,5
P138,Batang Lupar,Edwin Tangkun,BN (SNAP),Sarawak,5
P139,Lubok Antu,Jonathan Narwin Jinggong,BN (SNAP),Sarawak,5
P140,Betong,Liben Kato,BN (PBB),Sarawak,5
P141,Saratok,Edmund Langgu Saga,BN (SNAP),Sarawak,5
P142,Paloh,Abang Abu Bakar Abang Mustapha from 4 May 1981[N 4],BN (PBB),Sarawak,5
P142,Paloh,Abdul Rahman Ya'kub until 25 March 1981,BN (PBB),Sarawak,5
P143,Sarikei,Chieng Tiong Kai,BN (SUPP),Sarawak,5
P144,Sibu,Wong Soon Kai,BN (SUPP),Sarawak,5
P145,Rajang,Jawan Empaling,BN (SUPP),Sarawak,5
P146,Mukah,Edwin Esnen Unang from 28 January 1980[N 5],BN (PBB),Sarawak,5
P146,Mukah,Salleh Jafaruddin until 24 December 1979,BN (PBB),Sarawak,5
P147,Julau,Thomas Salang Siden,BN (SNAP),Sarawak,5
P148,Kanowit,Leo Moggie Irok,BN (SNAP),Sarawak,5
P149,Kapit,Leonard Linggi Jugah,BN (PBB),Sarawak,5
P150,Ulu Rajang,Sibat Miyut Tagong,BN (SNAP),Sarawak,5
P151,Bintulu,Ting Ling Kiew,BN (SNAP),Sarawak,5
P152,Lambir,Raymond Szetu Mei Thong,SAPO,Sarawak,5
P153,Baram,Luhat Wan,BN (SNAP),Sarawak,5
P154,Bukit Mas,Racha Umong,BN (PBB),Sarawak,5
P001,Kangar,Mohd Radzi Sheikh Ahmad,BN (UMNO),Perlis,6
P002,Arau,Abdul Hamid Pawanteh[N 1] (Deputy Speaker),BN (UMNO),Perlis,6
P003,Jerlun-Langkawi,Sanusi Junid,BN (UMNO),Kedah,6
P004,Kubang Pasu,Mahathir Mohamad,BN (UMNO),Kedah,6
P005,Padang Terap,Baharom Bakar from 19 January 1985[N 2],BN (UMNO),Kedah,6
P005,Padang Terap,Syed Ahmad Syed Mahmud Shahabuddin until 1984,BN (UMNO),Kedah,6
P006,Kuala Kedah,Mohammad Abu Bakar Rautin Ibrahim,BN (UMNO),Kedah,6
P007,Alor Setar,Oo Gin Sun,BN (MCA),Kedah,6
P008,Kota Setar,Abu Bakar Umar,PAS,Kedah,6
P009,Ulu Muda,Othman Abdul from 16 March 1983[N 3],BN (UMNO),Kedah,6
P009,Ulu Muda,Hashim Endut until 1983,BN (UMNO),Kedah,6
P010,Baling,Seroji Haron,BN (UMNO),Kedah,6
P011,Jerai,Ismail Arshad,BN (UMNO),Kedah,6
P012,Kuala Muda,Abdul Daim Zainuddin,BN (UMNO),Kedah,6
P013,Sungei Patani,Wan Zainab M. A. Bakar,BN (UMNO),Kedah,6
P014,Padang Serai,Tan Kok Hooi,BN (MCA),Kedah,6
P015,Kulim-Bandar Bahru,Abdul Kadir Sheikh Fadzir,BN (UMNO),Kedah,6
P016,Tumpat,Dusuki Ahmad,BN (UMNO),Kelantan,6
P017,Pengkalan Chepa,Nik Abdul Aziz Nik Mat,PAS,Kelantan,6
P018,Pasir Mas,Wan Ibrahim Wan Abdullah,PAS,Kelantan,6
P019,Kota Bharu,Tengku Ahmad Rithauddeen Tengku Ismail,BN (UMNO),Kelantan,6
P020,Bachok,Mohd Zain Abdullah,PAS,Kelantan,6
P021,Rantau Panjang,Hassan Haji Mohamed,PAS,Kelantan,6
P022,Nilam Puri,Mohamed Ali,BN (UMNO),Kelantan,6
