kod_kawasan,kawasan,nama,parti,negeri,vol
P075,Kuala Langat,Abdul Aziz Ishak,PPK,Selangor,1
P076,Sepang,Lee Siok Yew,Perikatan (MCA),Selangor,1
P077,Sabak Bernam,Syed Hashim Syed Ajam,Perikatan (UMNO),Selangor,1
P078,Ulu Selangor,Omar Ong Yoke Lin,Perikatan (MCA),Selangor,1
P079,Kuala Pilah,Bahaman Samsudin,Perikatan (UMNO),Negeri Sembilan,1
P080,Seremban Timor,Chin See Yin,Bebas sejak 1963,Negeri Sembilan,1
P080,Seremban Timor,Chin See Yin,Perikatan (MCA),Negeri Sembilan,1
P081,Rembau-Tampin,Redza Mohd Said,Perikatan (UMNO),Negeri Sembilan,1
P082,Port Dickson,T. Mahima Singh,Perikatan (MIC),Negeri Sembilan,1
P083,Jelebu-Jempol,Mohamed Ujang,Perikatan (UMNO),Negeri Sembilan,1
P084,Seremban Barat,Quek Kai Dong,Bebas,Negeri Sembilan,1
P085,Malacca Tengah,Tan Siew Sin,Perikatan (MCA),Melaka,1
P086,Bandar Malacca,Tan Kee Gak,Malaya,Melaka,1
P087,Malacca Utara,Abdul Ghani Ishak,Perikatan (UMNO),Melaka,1
P088,Malacca Selatan,Hassan Mansor,Perikatan (UMNO),Melaka,1
P089,Muar Dalam,Aziz Ishak,Perikatan (UMNO),Johor,1
P090,Segamat Selatan,Teoh Chze Chong,Perikatan (MCA),Johor,1
P091,Muar Pantai,Seah Teng Ngiab,Perikatan (MCA),Johor,1
P092,Muar Selatan,Awang Hassan sejak 28 December 1963,Perikatan (UMNO),Johor,1
P092,Muar Selatan,Sulaiman Abdul Rahman hingga 6 November 1963,Perikatan (UMNO),Johor,1
P093,Batu Pahat,Kang Kok Seng,Perikatan (MCA),Johor,1
P094,Batu Pahat Dalam,Syed Esa Alwee (Timbalan Yang Dipertua Dewan),Perikatan (UMNO),Johor,1
P095,Kluang Utara,Lee San Choon,Perikatan (MCA),Johor,1
P096,Johore Tenggara,Syed Jaafar Albar,Perikatan (UMNO),Johor,1
P097,Pontian Utara,Sardon Jubir,Perikatan (UMNO),Johor,1
P098,Pontian Selatan,Zainon Munshi Sulaiman,Perikatan (UMNO),Johor,1
P099,Kluang Selatan,Chan Chong Wen,Perikatan (MCA),Johor,1
