vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
1,,,Perlis Selatan,Tuan Haji,Mokhtar Bin Haji Ismail,,male,bumiputera,,,,
1,,,Pasir Mas Hilir,Tuan,Nik Man Bin Nik Mohamed,,male,bumiputera,,,,
1,,,Batu,Tuan,Ng Ann Teck,,male,chinese,,,,
1,,,Kuala Terengganu Selatan,Dato',Onn Bin Jaafar,,male,bumiputera,,,,
1,,,Tanah Merah,Tuan,Othman Bin Abdullah,,male,bumiputera,,,,
1,,,Perlis Utara,Tuan,Othman Bin Abdullah,,male,bumiputera,,,,
1,,,Seremban Barat,Tuan,Quek Kai Dong,,male,chinese,,,,
1,,,Rembau,Tuan Haji,Redza Bin Haji Mohd. Said,,male,bumiputera,,,,
1,,,Muar Pantai,Tuan,Seah Teng Ngiab,,male,chinese,,,,
1,,,Ipoh,Tuan,D.R Seenivasagam,,male,indian,,,,
1,,,Menglembu,Tuan,S.P Seenivasagam,,male,indian,,,,
1,,,Batu Pahat Dalam,Tuan,Syed Esa Bin Alwee,,male,bumiputera,,,,
1,,,Sabak Bernam,Tuan,Syed Hashim Bin Syed Ajam,,male,bumiputera,,,,
1,,,Johor Tenggara,Tuan,Syed Ja'afar Bin Hasan Albar,,male,bumiputera,,,,
1,,,Larut Utara,Tuan,Tajudin Bin Ali,,male,bumiputera,,,,
1,,,Bagan,Tuan,Tan Cheng Bee,,male,chinese,,,,
1,,,Bandar Melaka,Tuan,Tan Kee Gak,,male,chinese,,,,
1,,,Tanjong,Tuan,Tan Phock Kin,,male,chinese,,,,
1,,,Kulim,Tuan,Tan Tye Chek,,male,chinese,,,,
1,,,Ulu Kelantan,Tengku,Indra Petra Bin Sultan Ibrahim,,male,bumiputera,,,,
1,,,Segamat Selatan,Dato',Teoh Chze Chong,,male,chinese,,,,
1,,,Seberang Selatan,Tuan,V.Veerappen,,male,indian,,,,
1,,,Kelantan Hilir,Tuan,Wan Mustapha Bin Haji Ali,,male,bumiputera,,,,
1,,,Kota Star Selatan,Tuan,Wan Sulaiman Bin Wan Tam,,male,bumiputera,,,,
1,,,Kemaman,Tuan,Wan Yahya Bin Haji Wan Mohamed,,male,bumiputera,,,,
1,,,Telok Anson,Tuan,Woo Saik Hong,,male,chinese,,,,
1,,,Bagan Datoh,Tuan,Yahya Bin Haji Ahmad,,male,bumiputera,,,,
1,,,Bruas,Tuan,Yeoh Tat Beng,,male,chinese,,,,
1,,,Sitiawan,Tuan,Yong Woo Ming,,male,chinese,,,,
1,,,Pontian Selatan,Puan Hajah,Zain Binti Sulaiman,,female,bumiputera,,,,
1,,,Langat,Tuan Haji,Zakaria bin Haji Mohd. Taib,,male,bumiputera,,,,
1,,,Bachok,Tuan,Zulkiflee bin Muhammad,,male,bumiputera,,,,
2,,,Batu Pahat Dalam,Tuan,Syed Esa Bin Alwee,,male,bumiputera,,,Yang Dipertua Dewan Rakyat,
2,,,Kuala Kedah,Y.T.M. Tunku,Abdul Rahman Putra Al Haj,,male,bumiputera,,Perdana Menteri,,
2,,,Pekan,Y.A.B. Tun Haji,Abdul Razak Bin Dato' Hussain,,male,bumiputera,,Timbalan Perdana Menteri,,
2,,,Johor Timur,Dato' Dr.,Ismail Bin Dato' Haji Abdul Rahman,,male,bumiputera,,,,
2,,,Melaka Tengah,Tuan,Tan Siew Sin,,male,chinese,,,,
2,,,Sungai Siput,Dato',V. T. Sambanthan,,male,indian,,,,
2,,,Pontian Utara,Dato' Haji,Sardon Bin Haji Jubir,,male,bumiputera,,,,
2,,,Kuala Pilah,Tuan,Bahaman Bin Samsudin,,male,bumiputera,,,,
2,,,Kuantan,Tuan,Abdul Rahman Bin Haji Talib,,male,bumiputera,,,,
2,,,Larut Selatan,Dr.,Lim Swee Aun,,male,bumiputera,,,,
2,,,Batang Padang,Tuan Haji,Abdul Hamid Khan Bin Haji Sakhawat Ali Khan,,male,bumiputera,,,,
2,,,Ulu Selangor,Tuan,Khaw Kai Boh,,male,chinese,,,,
2,,,Sarawak,Dato' Temenggong,Jugah Anak Barieng,,male,bumiputera,,,,
2,,,Klang,Tuan,V. Manickavasagam,,male,indian,,,,
2,,,Kubang Pasu Barat,Tuan,Senu Bin Abdul Rahman,,male,bumiputera,,,,
2,,,Kedah Tengah,Tuan,Mohamed Khir Bin Johari,,male,bumiputera,,,,
2,,,Kota Star Utara,Tuan Haji,Abdul Khalid Bin Awang Osman,,male,bumiputera,,,,
2,,,Ulu Perak,Tuan,Mohamed Ghazali Bin Haji Jawi,,male,bumiputera,,,,
2,,,Sarawak,Tuan,Abdul Rahman Bin Ya'kub,,male,bumiputera,,,,
2,,,Bagan Datoh,Tuan,Sulaiman Bin Bulon,,male,bumiputera,,,,
2,,,Terengganu Tengah,,Engku Muhsein Bin Abdul Kadir,,male,bumiputera,,,,
2,,,Sepang,Tuan,Lee Siok Yew,,male,chinese,,,,
2,,,Melaka Utara,Tuan,Abdul Ghani Bin Ishak,,male,bumiputera,,,,
2,,,Melaka Selatan,Tuan,Abdul Karim Bin Abu,,male,bumiputera,,,,
2,,,Kuala Terengganu Utara,Tuan,Wan Abdul Kadir Bin Ismail,,male,bumiputera,,,,
2,,,Singapore,Tuan,Abdul Rahim Ishak,,male,bumiputera,,,,
2,,,Sarawak,Tuan,Wan Abdul Rahman Bin Datu Tuanku Bujang,,male,bumiputera,,,,
2,,,Sabah,Tuan Haji,Abdul Rashid Bin Haji Jais,,male,bumiputera,,,,
2,,,Krian Laut,Tuan,Abdul Rauf Bin A. Rahman,,male,bumiputera,,,,
2,,,Lipis,Tuan,Abdul Razak Bin Haji Hussin,,male,bumiputera,,,,
