vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,spr_name
12.0,P197,Sarawak,Kota Samarahan,Y.B. Dato' Sri,Sulaiman Abdul Rahman Taib,1969.0,male,bumiputera,BN - PBB,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P197-KOTASEMARAHAN.jpg,SULAIMAN ABDUL RAHMAN B ABDUL TAIB
12.0,P198,Sarawak,Mambong,Y.B. Dato' Dr.,James Dawos Mamit,1949.0,male,bumiputera,BN - PBB,Timbalan Menteri Pelancongan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P198-MAMBONG.jpg,JAMES DAWOS ANAK MAMIT
12.0,P199,Sarawak,Serian,Y.B. Datuk,Richard Riot Anak Jaem,1952.0,male,bumiputera,BN - SUPP,Timbalan Menteri Luar Negeri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P199-SERIAN.jpg,RICHARD RIOT ANAK JAEM
12.0,P201,Sarawak,Batang Lupar,Y.B. Datuk Hajah,Rohani binti Haji Abd. Karim,1955.0,female,bumiputera,BN - PBB,"Timbalan Menteri Perdagangan Dalam Negeri, Koperasi Dan Kepenggunaan",,https://www.parlimen.gov.my/images/webuser/ahli/2010/P201-BTGLUPAR.jpg,ROHANI KARIM
12.0,P202,Sarawak,Sri Aman,Y.B. Tuan,Masir Anak Kujat,1955.0,male,bumiputera,BN - PRS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P202-SRIAMAN.jpg,MASIR KUJAT
12.0,P203,Sarawak,Lubok Antu,Y.B. Tuan,William @ Nyallau Badak,1951.0,male,bumiputera,BN - PRS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P203-LUBOKANTU.jpg,WILLIAM NYALLAU
12.0,P204,Sarawak,Betong,Y.B. Dato Sri,Douglas Uggah Embas,1956.0,male,bumiputera,BN - PBB,Menteri Sumber Asli Dan Alam Sekitar,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P204-BETONG2.jpg,DOUGLAS UGGAH EMBAS
12.0,P207,Sarawak,Igan,Y.B. Datuk Haji,Abdul Wahab bin Haji Dolah,1951.0,male,bumiputera,BN - PBB,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P207-IGAN.jpg,ABDUL WAHABDUL BIN DOLAH
12.0,P208,Sarawak,Sarikei,Y.B. Tuan,Ding Kuong Hiing,1955.0,male,chinese,BN - SUPP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P208-SARIKEI.jpg,DING KUONG HIING
12.0,P211,Sarawak,Lanang,Y.B. Datuk,Tiong Thai King,1946.0,male,chinese,BN - SUPP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P211-LANANG.jpg,TIONG THAI KING
