vol,name,birth_year,sex,ethnicity,parti,negeri,kawasan,kod_kawasan,jawatan_kabinet,jawatan_parlimen,uid,author_id,new_uid
14,TAN KOK WAI,1957.0,male,chinese,PH - DAP,Kuala Lumpur,CHERAS,P123,,,1825.0,21210,1825
15,TAN KOK WAI,1957.0,male,chinese,PH,Kuala Lumpur,Cheras,P123,,,1825.0,21210,1825
12,TAN LIAN HOE,1959.0,female,chinese,BN - GERAKAN,Perak,Gerik,P054,"Timbalan Menteri Perdagangan Dalam Negeri, Koperasi Dan Kepenggunaan",,3012.0,21211,3012
12,TAN SENG GIAW,1943.0,male,chinese,DAP,WP Kuala Lumpur,Kepong,P114,,,1238.0,21212,1238
13,TAN SENG GIAW,1943.0,male,chinese,DAP,WP Kuala Lumpur,Kepong,P114,,,1238.0,21212,1238
12,TAN TEE BENG,1972.0,male,chinese,PKR > BEBAS > KITA,Pulau Pinang,Nibong Tebal,P047,,,3355.0,21213,3355
14,TAN YEE KEW,1953.0,female,chinese,PH - PKR,Kuala Lumpur,WANGSA MAJU,P116,,,2436.0,21201,2436
14,TEH KOK LIM,1970.0,male,chinese,PH - DAP,Perak,TAIPING,P060,,,4099.0,21202,4099
12,TEKHEE @TIKI ANAK LAFE,1953.0,male,bumiputera,BN - SPDP,Sarawak,Mas Gading,P192,,,3591.0,21214,3591
12,TENG BOON SOON,1942.0,male,chinese,BN - MCA,Johor,Tebrau,P158,,,3520.0,21215,3520
12,TENGKU ADNAN BIN TENGKU MANSOR,1951.0,male,bumiputera,BN - UMNO,WP Putrajaya,Putrajaya,P125,,,3468.0,21216,3468
13,TENGKU ADNAN BIN TENGKU MANSOR,1951.0,male,bumiputera,BN - UMNO,WP Putrajaya,Putrajaya,P125,Menteri Wilayah Persekutuan,,3468.0,21216,3468
12,TENGKU AZLAN IBNI ALMARHUM SULTAN ABU BAKAR,1950.0,male,bumiputera,BN - UMNO,Pahang,Jerantut,P081,,,2411.0,21217,2411
12,TENGKU RAZALEIGH BIN TENGKU HAMZAH,1937.0,male,bumiputera,BN - UMNO,Kelantan,Gua Musang,P032,,,872.0,21218,872
13,TENGKU RAZALEIGH HAMZAH,1937.0,male,bumiputera,BN - UMNO,Kelantan,Gua Musang,P032,,,872.0,21218,872
15,TENGKU ZAFRUL BIN TENGKU ABDUL AZIZ,,male,bumiputera,UMNO,TIADA,,,"Menteri Pelaburan, Perdagangan dan Industri","Menteri Pelaburan, Perdagangan dan Industri",,21219,21219
13,TEO ENG TEE @ TEO KOK CHEE,,male,chinese,BN - GERAKAN,TIADA,,,TIADA,TIADA,,21220,21220
14,TEO ENG TEE @ TEO KOK CHEE,,male,chinese,GERAKAN,TIADA,,,TIADA,Ahli Dewan Negara,,21220,21220
13,TEO KOK SEONG,1980.0,male,chinese,DAP,Negeri Sembilan,Rasah,P130,,,3835.0,21221,3835
12,TEO NIE CHING,1981.0,female,chinese,DAP,Selangor,Serdang,P102,,,3434.0,21222,3434
13,TEO NIE CHING,1981.0,female,chinese,DAP,Johor,Kulai,P163,,,3434.0,21222,3434
14,TEO NIE CHING,1981.0,female,chinese,PH - DAP,Johor,KULAI,P163,,,3434.0,21222,3434
15,TEO NIE CHING,1981.0,female,chinese,PH,Johor,Kulai,P163,Timbalan Menteri Komunikasi,,3434.0,21222,3434
14,TERESA KOK,1964.0,female,chinese,PH - DAP,Kuala Lumpur,SEPUTEH,P122,,,2769.0,21223,2769
12,TERESA KOK SUH SIM,1964.0,female,chinese,DAP,WP Kuala Lumpur,Seputeh,P122,,,2769.0,21223,2769
13,TERESA KOK SUH SIM,1964.0,female,chinese,DAP,WP Kuala Lumpur,Seputeh,P122,,,2769.0,21223,2769
15,TERESA KOK SUH SIM,1964.0,female,chinese,PH,Kuala Lumpur,Seputeh,P122,,,2769.0,21223,2769
14,TI LIAN KER,,male,chinese,MCA,TIADA,,,Timbalan Menteri Belia dan Sukan,TIADA,,21224,21224
12,TIONG KING SING,1962.0,male,chinese,BN - SPDP,Sarawak,Bintulu,P217,,,3622.0,21225,3622
13,TIONG KING SING,1962.0,male,chinese,BN - PDP,Sarawak,Bintulu,P217,,,3622.0,21225,3622
