vol,kod_kawasan,negeri,kawasan,uid,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,new_key,birth_year
14,P107,Selangor,SUNGAI BULOH,3443,YB TUAN,SIVARASA A/L K. RASIAH,1957.0,male,indian,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.107-SUNGAI BULOH.png,170,1957
12,P109,Selangor,Kapar,3446,Y.B. Tuan,Manikavasagam a/l Sundaram,1966.0,male,indian,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P109-KAPAR.jpg,171,1966
12,P110,Selangor,Klang,3447,Y.B. Tuan,Charles Anthony a/l R. Santiago,1961.0,male,indian,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P110-KLANG.jpg,172,1961
13,P110,Selangor,Klang,3447,YB Tuan,Charles Anthony Santiago,1961.0,male,indian,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P110.jpg,172,1961
14,P110,Selangor,KLANG,3447,YB TUAN,CHARLES ANTHONY SANTIAGO,1961.0,male,indian,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.110-KLANG.png,172,1961
12,P111,Selangor,Kota Raja,3449,Y.B. Dr.,Siti Mariah binti Mahmud,1958.0,female,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P111-KOTARAJA.jpg,173,1958
13,P111,Selangor,Kota Raja,3449,YB Dr. Hajah,Siti Mariah binti Mahmud,1958.0,female,bumiputera,AMANAH,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P111-KOTARAJA.jpg,173,1958
12,P112,Selangor,Kuala Langat,3451,Y.B. Tuan,Abdullah Sani bin Abdul Hamid,1962.0,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P112-KLANGAT.jpg,174,1962
13,P112,Selangor,Kuala Langat,3451,YB Dato',Abdullah Sani bin Abdul Hamid,1962.0,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P112.jpg,174,1962
14,P109,Selangor,KAPAR,3451,YB DATO',ABDULLAH SANI BIN ABDUL HAMID,1962.0,male,bumiputera,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.109-KAPAR.png,174,1962
12,P113,Selangor,Sepang,3452,Y.B. Dato' Ir.,Mohd Zin bin Mohamed,1955.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/SEPANG.JPG,175,1954
12,P117,WP Kuala Lumpur,Segambut,3456,Y.B. Tuan,Lim Lip Eng,1973.0,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P117-SEGAMBUT.jpg,176,1972
13,P117,WP Kuala Lumpur,Segambut,3456,YB Tuan,Lim Lip Eng,1973.0,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P117.jpg,176,1972
14,P114,Kuala Lumpur,KEPONG,3456,YB TUAN,LIM LIP ENG,1973.0,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.114-KEPONG.png,176,1972
15,P114,Kuala Lumpur,Kepong,3456,YB Tuan,Lim Lip Eng,1972.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P114.jpg,176,1972
12,P118,WP Kuala Lumpur,Setiawangsa,3457,Y.B. Dato' Sri Haji,Zulhasnan bin Rafique,1955.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/SETIAWANGSA.JPG,177,1955
12,P119,WP Kuala Lumpur,Titiwangsa,3460,Y.B. Dr. (Meninggal Dunia),Lo' Lo' binti Hj Mohamad Ghazali,1958.0,female,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P119-TITIWANGSA.jpg,178,1958
12,P121,WP Kuala Lumpur,Lembah Pantai,3464,Y.B. Puan,Nurul Izzah binti Anwar,1981.0,female,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P121-LMBHPANTAI.jpg,179,1980
13,P121,WP Kuala Lumpur,Lembah Pantai,3464,YB Puan,Nurul Izzah binti Anwar,1981.0,female,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P121.jpg,179,1980
14,P044,Pulau Pinang,PERMATANG PAUH,3464,YB PUAN,NURUL IZZAH BINTI ANWAR,1981.0,female,bumiputera,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.044-PERMATANG PAUH.png,179,1980
12,P124,WP Kuala Lumpur,Bandar Tun Razak,3467,Y.B. Tan Sri Dato' Seri,Abd Khalid bin Ibrahim,1947.0,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P124-BDRTUNRAZAK.jpg,180,1947
13,P124,WP Kuala Lumpur,Bandar Tun Razak,3467,YB Tan Sri Dato' Seri,Abd Khalid bin Ibrahim,1947.0,male,bumiputera,BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P124.jpg,180,1947
12,P125,WP Putrajaya,Putrajaya,3468,Y.B. Datuk Seri,Tengku Adnan bin Tengku Mansor,1951.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P125-PUTRAJAYA3.jpg,181,1951
