vol,kod_kawasan,negeri,kawasan,uid,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
15,P087,Pahang,Kuala Krau,4741,YB Tuan,Kamal bin Ashaari,1970,male,bumiputera,PN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P087.jpg
15,P088,Pahang,Temerloh,4745,YB Puan Hajah,Salamiah binti Mohd Nor,1964,female,bumiputera,PN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P088.jpg
15,P089,Pahang,Bentong,4749,YB Puan,Young Syefura binti Othman,1989,female,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P089.jpg
15,P091,Pahang,Rompin,4756,YB Dato',Abdul Khalib bin Abdullah,1959,male,bumiputera,PN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P091.jpg
15,P092,Selangor,Sabak Bernam,4759,YB Tuan,Kalam bin Salan,1965,male,bumiputera,PN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P092.jpg
15,P093,Selangor,Sungai Besar,4763,YB Datuk,Muslimin bin Yahaya,1967,male,bumiputera,PN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P093.png
15,P094,Selangor,Hulu Selangor,4770,YB Tuan Haji,Mohd Hasnizan bin Harun,1970,male,bumiputera,PN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P094.jpg
15,P095,Selangor,Tanjong Karang,4773,YB Dato' Dr.,Zulkafperi bin Hanapi,1959,male,bumiputera,BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P095.jpg
15,P096,Selangor,Kuala Selangor,4778,YB Datuk Seri Haji Dr.,Dzulkefly bin Ahmad,1956,male,bumiputera,PH,Menteri Kesihatan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P096.png
15,P098,Selangor,Gombak,4785,YAB Dato' Seri,Amirudin bin Shari,1980,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P098.png
15,P099,Selangor,Ampang,4789,YB Puan Hajah,Rodziah binti Ismail,1964,female,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P099.jpg
15,P101,Selangor,Hulu Langat,4799,YB Tuan,Mohd Sany bin Hamzan,1977,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P101.jpg
15,P102,Selangor,Bangi,4810,YB Tuan,Syahredzan bin Johan,1983,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P102.jpg
15,P105,Selangor,Petaling Jaya,4821,YB Tuan,Lee Chean Chung,1981,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P105.jpg
15,P107,Selangor,Sungai Buloh,4827,YB Dato' Sri,Ramanan Ramakrishnan,1981,male,indian,PH,Timbalan Menteri Pembangunan Usahawan dan Koperasi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P107.jpg
