author_id,vol,nama,gelaran,parti,lantikan,negeri,kawasan,kod_kawasan,tahun_lahir,jantina,kumpulan_etnik,jawatan_kabinet,jawatan_parlimen,penggal,tempoh,tempoh_mula,tempoh_tamat
337,14,Koh Nai Kwong,YB Senator Datuk Wira,MCA,Dipilih oleh Dewan Undangan Negeri,Melaka,,,,M,chinese,TIADA,Ahli Dewan Negara,,10.12.2020 - 09.12.2023,2020-12-10,2023-12-09
337,15,Koh Nai Kwong,YB Senator Datuk Wira,MCA,Dipilih oleh Dewan Undangan Negeri,Melaka,,,,M,chinese,TIADA,Ahli Dewan Negara,,10.12.2020 - 09.12.2023,2020-12-10,2023-12-09
338,12,Koh Tsu Koon,YB Senator Tan Sri Dr,BN - GERAKAN,Dilantik Yang di-Pertuan Agong,TIADA,,,,M,chinese,Menteri di Jabatan Perdana Menteri,TIADA,,09.04.2012 - 08.04.2015,2012-04-09,2015-04-08
339,9,Krishnan Perumal,TIADA,BN - MIC,Dilantik Yang di-Pertuan Agong,TIADA,,,,,other,TIADA,Ahli Dewan Negara,,,1997-04-07,2000-04-06
340,6,Kuan Peng Soon @ Kuan Peng Ching,TIADA,BN - MCA,Dipilih oleh Dewan Undangan Negeri,Perak,,,,,chinese,TIADA,Ahli Dewan Negara,,,1984-12-03,1987-12-02
340,7,Kuan Peng Soon @ Kuan Peng Ching,TIADA,BN - MCA,Dipilih oleh Dewan Undangan Negeri,Perak,,,,,chinese,TIADA,Ahli Dewan Negara,,,1984-12-03,1987-12-02
340,7,Kuan Peng Soon @ Kuan Peng Ching,TIADA,BN - MCA,Dipilih oleh Dewan Undangan Negeri,Perak,,,,,chinese,TIADA,Ahli Dewan Negara,,,1988-07-11,1991-07-10
340,8,Kuan Peng Soon @ Kuan Peng Ching,TIADA,BN - MCA,Dipilih oleh Dewan Undangan Negeri,Perak,,,,,chinese,TIADA,Ahli Dewan Negara,,,1984-12-03,1987-12-02
340,8,Kuan Peng Soon @ Kuan Peng Ching,TIADA,BN - MCA,Dipilih oleh Dewan Undangan Negeri,Perak,,,,,chinese,TIADA,Ahli Dewan Negara,,,1988-07-11,1991-07-10
341,5,Kumaran Kanugaran,TIADA,BN - MIC,Dilantik Yang di-Pertuan Agong,TIADA,,,,,indian,TIADA,Ahli Dewan Negara,,,1979-12-10,1982-12-09
341,6,Kumaran Kanugaran,TIADA,BN - MIC,Dilantik Yang di-Pertuan Agong,TIADA,,,,,indian,TIADA,Ahli Dewan Negara,,,1979-12-10,1982-12-09
341,6,Kumaran Kanugaran,TIADA,BN - MIC,Dilantik Yang di-Pertuan Agong,TIADA,,,,,indian,TIADA,Ahli Dewan Negara,,,1982-12-17,1985-12-16
342,11,Latiff Tamby Chik,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Malacca,,,,,other,TIADA,Ahli Dewan Negara,,,,
343,10,Lau Yin Pin @ Lau Yen Beng,TIADA,BN - MCA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,,
344,3,Law Hieng Ding,TIADA,Perikatan - MCA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,,
