vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
15.0,,-,,YB Tan Sri Dato' (Dr.),Johari bin Abdul,,male,bumiputera,,,Yang di-Pertua Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2022/ypdr.jpg
15.0,P078,Pahang,Cameron Highlands,YB Dato' Dr.,Ramli bin Dato' Mohd Nor,,male,bumiputera,BN,,Timbalan Yang di-Pertua Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2022/P078.jpg
15.0,P211,Sarawak,Lanang,YB Puan,Alice Lau Kiong Yieng,,female,,PH,,Timbalan Yang di-Pertua Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2022/YB Lanang.JPG
15.0,,-,,Dr.,Nizam Mydin bin Bacha Mydin,,male,bumiputera,,,Setiausaha Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2022/Dr Nizam v2.jpg
15.0,P063,Perak,Tambun,YAB Dato' Seri,Anwar bin Ibrahim,,male,bumiputera,PH,Perdana Menteri dan Menteri Kewangan,Ketua Majlis,https://www.parlimen.gov.my/images/webuser/ahli/2022/P063.png
15.0,P075,Perak,Bagan Datuk,YAB Dato' Seri Dr.,Ahmad Zahid bin Hamidi,,male,bumiputera,BN,Timbalan Perdana Menteri dan Menteri Kemajuan Desa dan Wilayah,Timbalan Ketua Majlis,https://www.parlimen.gov.my/images/webuser/ahli/2022/YAB TPM 1.jpg
15.0,P194,Sarawak,Petra Jaya,YAB Dato' Sri Haji,Fadillah bin Haji Yusof,,male,bumiputera,GPS,Timbalan Perdana Menteri dan Menteri Peralihan Tenaga dan Transformasi Air,Timbalan Ketua Majlis,https://www.parlimen.gov.my/images/webuser/ahli/2022/P194.jpg
15.0,P128,Negeri Sembilan,Seremban,YB Tuan,Loke Siew Fook,,male,,PH,Menteri Pengangkutan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P128.png
15.0,P111,Selangor,Kota Raja,YB Datuk Seri Haji,Mohamad bin Sabu,,male,bumiputera,PH,Menteri Pertanian dan Keterjaminan Makanan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P111.png
15.0,P100,Selangor,Pandan,YB Dato' Seri,Mohd Rafizi bin Ramli,,male,bumiputera,PH,Menteri Ekonomi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P100.png
15.0,P076,Perak,Teluk Intan,YB Tuan,Nga Kor Ming,,male,,PH,Menteri Perumahan Dan Kerajaan Tempatan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P076.png
15.0,P131,Negeri Sembilan,Rembau,YB Dato' Seri Utama Haji,Mohamad bin Haji Hasan,,male,bumiputera,BN,Menteri Luar Negeri,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P131.png
15.0,P215,Sarawak,Kapit,YB Dato Sri,Alexander Nanta Linggi,,,,GPS,Menteri Kerja Raya,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P215.jpg
15.0,P156,Johor,Kota Tinggi,YB Dato' Seri,Mohamed Khaled bin Nordin,,male,bumiputera,BN,Menteri Pertahanan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P156.png
15.0,P077,Perak,Tanjong Malim,YB Tuan,Chang Lih Kang,,male,,PH,"Menteri Sains, Teknologi dan Inovasi",,https://www.parlimen.gov.my/images/webuser/ahli/2022/P077.jpg
15.0,P193,Sarawak,Santubong,YB Dato' Sri Hajah,Nancy binti Shukri,,female,bumiputera,GPS,"Menteri Pembangunan Wanita, Keluarga dan Masyarakat",,https://www.parlimen.gov.my/images/webuser/ahli/2022/santubong.jpg
15.0,P157,Johor,Pengerang,YB Dato' Sri,Azalina binti Othman Said,,female,bumiputera,BN,Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi),,https://www.parlimen.gov.my/images/webuser/ahli/2022/P157.png
15.0,P118,Kuala Lumpur,Setiawangsa,YB Tuan,Nik Nazmi bin Nik Ahmad,,male,bumiputera,PH,Menteri Sumber Asli dan Kelestarian Alam,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P118.png
15.0,P174,Sabah,Penampang,YB Datuk,Ewon Benedick,,,,PH,Menteri Pembangunan Usahawan dan Koperasi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P174.png
15.0,P217,Sarawak,Bintulu,YB Dato Sri,Tiong King Sing,,,,GPS,"Menteri Pelancongan, Seni dan Budaya",,https://www.parlimen.gov.my/images/webuser/ahli/2022/P217.png
15.0,P121,Kuala Lumpur,Lembah Pantai,YB Tuan,Ahmad Fahmi bin Mohamed Fadzil,,male,bumiputera,PH,Menteri Komunikasi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P121.png
15.0,P047,Pulau Pinang,Nibong Tebal,YB Puan,Fadhlina binti Sidek,,female,bumiputera,PH,Menteri Pendidikan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P047.jpg
15.0,P210,Sarawak,Kanowit,YB Datuk,Aaron Ago anak Dagang,,,bumiputera,GPS,Menteri Perpaduan Negara,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P210.png
15.0,P117,Kuala Lumpur,Segambut,YB Puan,Hannah Yeoh Tseow Suan,,female,,PH,Menteri Belia dan Sukan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P117.png
