author_id,name,birth_year,sex,ethnicity,new_uid,vol_set,start_term,end_term
2615,SAIFUDDIN NASUTION BIN ISMAIL,1964.0,male,bumiputera,2615,[12],8 March 2008,3 April 2013
2615,SAIFUDDIN NASUTION BIN ISMAIL,1964.0,male,bumiputera,2615,"[14, 15]",9 May 2018,
