vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,remarks,id,uid,new_id,index
14,P134,Melaka,MASJID TANAH,YB DATUK WIRA HAJAH,MAS ERMIEYATI BINTI SAMSUDIN,1976.0,female,bumiputera,BN - UMNO > BERSATU,Timbalan Menteri di Jabatan Perdana Menteri (Parlimen dan Undang-Undang),,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.134-MASJID TANAH.png,,1187,3840.0,307.0,
14,P135,Melaka,ALOR GAJAH,YB DATUK SERI,MOHD REDZUAN BIN MD. YUSOF,1957.0,male,bumiputera,BERSATU,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.135-ALOR GAJAH.png,,1230,4247.0,391.0,
14,P136,Melaka,TANGGA BATU,YB PUAN,RUSNAH BINTI ALUAI,1962.0,female,bumiputera,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.136-TANGGA BATU.png,,1308,4248.0,392.0,
14,P137,Melaka,HANG TUAH JAYA,YB DATUK SERI HAJI,SHAMSUL ISKANDAR @ YUSRE BIN HAJI MOHD AKIN,1975.0,male,bumiputera,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.137-HANG TUAH JAYA.png,,1327,3142.0,85.0,
14,P138,Melaka,KOTA MELAKA,YB TUAN,KHOO POAY TIONG,1971.0,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.138-KOTA MELAKA.png,,1153,4252.0,393.0,
14,P139,Melaka,JASIN,YB DATUK SERI HAJI,AHMAD BIN HAMZAH,1949.0,male,bumiputera,BN - UMNO,Timbalan Menteri Pertanian dan Industri Makanan I,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.139-JASIN.png,,1016,3491.0,193.0,
14,P140,Johor,SEGAMAT,YB DATUK SERI DR.,SANTHARA KUMAR A/L RAMANAIDU,1971.0,male,indian,PH - PKR > BERSATU,"Timbalan Menteri Pelancongan, Seni dan Budaya",,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.140-SEGAMAT.png,,1315,3770.0,295.0,
14,P141,Johor,SEKIJANG,YB PUAN HAJAH,NATRAH ISMAIL,1951.0,female,bumiputera,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.141-SEKIJANG.png,,1256,4257.0,394.0,
14,P142,Johor,LABIS,YB TUAN,PANG HOK LIONG,1957.0,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.142-LABIS.png,,1288,3148.0,86.0,
14,P143,Johor,PAGOH,YB TAN SRI DATO' HAJI,MAHIADDIN BIN HAJI MD YASIN,1947.0,male,bumiputera,BERSATU,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.143-PAGOH.png,,642,2797.0,67.0,
