author_id,author,birth_year,sex,ethnicity
3270,JOSEPH ENTULU ANAK BELAUN,1955.0,male,bumiputera
3285,ISMAIL BIN KASIM,1960.0,male,bumiputera
3286,ABU BAKAR BIN TAIB,1943.0,male,bumiputera
3288,MUKHRIZ TUN DR. MAHATHIR,1964.0,male,bumiputera
3290,MOHD JOHARI BIN BAHARUM,1954.0,male,bumiputera
3292,MOHD NASIR BIN ZAKARIA,1976.0,male,bumiputera
3294,GOOI HSIAO-LEUNG,1973.0,male,chinese
3295,AHMAD BIN KASIM,1964.0,male,bumiputera
3298,MOHD FIRDAUS BIN JAAFAR,1974.0,male,bumiputera
3300,CHE UDA BIN CHE NIK,1949.0,male,bumiputera
3302,RASHID BIN DIN,1947.0,male,bumiputera
3304,JOHARI BIN ABDUL,1955.0,male,bumiputera
3305,ABDUL AZEEZ BIN ABDUL RAHIM,1967.0,male,bumiputera
3306,TAIB AZAMUDDEN BIN MD TAIB,1951.0,male,bumiputera
3308,GOBALAKRISHNAN A/L NAGAPAN,1960.0,male,indian
3309,ZULKIFLI BIN NOORDIN,1962.0,male,bumiputera
3310,ABD AZIZ BIN SHEIKH FADZIR,1963.0,male,bumiputera
3311,KAMARUDIN BIN JAFFAR,1952.0,male,bumiputera
3313,AB. HALIM BIN AB. RAHMAN,1940.0,male,bumiputera
3315,WAN ABD. RAHIM BIN WAN ABDULLAH,1952.0,male,bumiputera
3318,SITI ZAILAH BINTI MOHD YUSOFF,1963.0,female,bumiputera
3322,NASHARUDIN BIN MAT ISA,1963.0,male,bumiputera
3324,ANNUAR BIN HAJI MUSA,1956.0,male,bumiputera
3325,AB AZIZ BIN AB KADIR,1963.0,male,bumiputera
3327,AMRAN BIN AB GHANI,1974.0,male,bumiputera
3330,MUHAMMAD BIN HUSAIN,1952.0,male,bumiputera
3333,MOHD HATTA BIN MD RAMLI,1957.0,male,bumiputera
3336,ABDULLAH BIN MD ZIN,1947.0,male,bumiputera
3338,MOHD JIDIN BIN SHAFEE,1955.0,male,bumiputera
3340,MOHD NASIR BIN IBRAHIM FIKRI,1957.0,male,bumiputera
3342,RAZALI BIN ISMAIL,1949.0,male,bumiputera
3345,MOHD NOR BIN OTHMAN,1953.0,male,bumiputera
3346,MATULIDI BIN JUSOH,1958.0,male,bumiputera
3350,NOR MOHAMED YAKCOP,1948.0,male,bumiputera
3354,RAMASAMY A/L PALANISAMY,1950.0,male,indian
3355,TAN TEE BENG,1972.0,male,chinese
3357,LIEW CHIN TONG,1977.0,male,chinese
3361,JEFF OOI CHUAN AUN,1956.0,male,chinese
3364,ZAHRAIN MOHAMED HASHIM,1956.0,male,bumiputera
3366,MOHD YUSMADI BIN MOHD YUSOFF,1975.0,male,bumiputera
3369,SHAMSUL ANUAR BIN HAJI NASARAH,1967.0,male,bumiputera
3371,HAMZAH BIN ZAINUDIN,1957.0,male,bumiputera
3372,MOHSIN FADZLI BIN HAJI SAMSURI,1946.0,male,bumiputera
3376,NGA KOR MING,1972.0,male,chinese
3380,AHMAD HUSNI BIN MOHAMAD HANADZLAH,1953.0,male,bumiputera
3383,M. KULASEGARAN A/L V. MURUGESON,1957.0,male,indian
3388,MOHD NIZAR BIN HAJI ZAKARIA,1969.0,male,bumiputera
3390,LEE CHEE LEONG,1957.0,male,chinese
3391,LEE BOON CHYE,1960.0,male,chinese
3393,SARAVANAN A/L MURUGAN,1968.0,male,indian
3395,TAJUDDIN BIN ABDUL RAHMAN,1948.0,male,bumiputera
3398,MANOGARAN A/L MARIMUTHU,1960.0,male,indian
3399,ONG KA CHUAN,1955.0,male,chinese
3402,DEVAMANY A/L S.KRISHNASAMY,1958.0,male,indian
3403,MOHAMAD SHAHRUM BIN OSMAN,1954.0,male,bumiputera
3406,NG YEN YEN,1947.0,female,chinese
3409,AZAN BIN ISMAIL,1961.0,male,bumiputera
3411,ABDUL MANAN BIN ISMAIL,1949.0,male,bumiputera
3413,ISMAIL BIN HAJI ABD MUTTALIB,1954.0,male,bumiputera
3414,NASRUDIN BIN HASSAN,1971.0,male,bumiputera
3416,SAIFUDDIN BIN ABDULLAH,1961.0,male,bumiputera
3420,JAMALUDIN BIN DATO' MOHD JARJIS,1952.0,male,bumiputera
3421,ABD. RAHMAN BIN BAKRI,1966.0,male,bumiputera
3422,NORIAH BINTI KASNON,1964.0,female,bumiputera
3424,DZULKEFLY BIN AHMAD,1956.0,male,bumiputera
3427,WILLIAM LEONG JEE KEEN,1957.0,male,chinese
3428,MOHAMED AZMIN BIN ALI,1965.0,male,bumiputera
3431,ZURAIDA BINTI KAMARUDDIN,1958.0,female,bumiputera
3433,CHE ROSLI BIN CHE MAT,1952.0,male,bumiputera
3434,TEO NIE CHING,1981.0,female,chinese
3436,GOBIND SINGH DEO,1973.0,male,other
3438,GWO-BURNE LOH,1974.0,male,bumiputera
3440,HEE LOY SIAN,1971.0,male,chinese
3441,TONY PUA KIAM WEE,1973.0,male,bumiputera
3443,SIVARASA A/L K. RASIAH,1957.0,male,indian
3446,MANIKAVASAGAM A/L SUNDARAM,1966.0,male,indian
3447,CHARLES ANTHONY A/L R. SANTIAGO,1961.0,male,indian
3449,SITI MARIAH BINTI MAHMUD,1958.0,female,bumiputera
3451,ABDULLAH SANI BIN ABDUL HAMID,1962.0,male,bumiputera
3452,MOHD ZIN BIN MOHAMED,1954.0,male,bumiputera
3456,LIM LIP ENG,1972.0,male,chinese
3457,ZULHASNAN BIN RAFIQUE,1955.0,male,bumiputera
3460,LO' LO' BINTI HJ MOHAMAD GHAZALI,1958.0,female,bumiputera
3464,NURUL IZZAH BINTI ANWAR,1980.0,female,bumiputera
3467,ABD KHALID BIN IBRAHIM,1947.0,male,bumiputera
3468,TENGKU ADNAN BIN TENGKU MANSOR,1951.0,male,bumiputera
3470,LILAH BIN YASIN,1958.0,male,bumiputera
3473,JOHN A/L FERNANDEZ,1942.0,male,indian
3474,HASAN BIN MALEK,1946.0,male,bumiputera
3477,LOKE SIEW FOOK,1977.0,male,chinese
3478,KHAIRY JAMALUDDIN ABU BAKAR,1976.0,male,bumiputera
3480,KAMARUL BAHARIN BIN ABBAS,1948.0,male,bumiputera
3483,ABU SEMAN BIN HAJI YUSOP,1944.0,male,bumiputera
3487,IDRIS BIN HAJI HARON,1967.0,male,bumiputera
3488,MD SIRAT BIN ABU,1960.0,male,bumiputera
3489,SIM TONG HIM,1949.0,male,chinese
3491,AHMAD BIN HAJI HAMZAH,1949.0,male,bumiputera
3492,BAHARUM BIN HAJI MOHAMED,1957.0,male,bumiputera
3493,CHUA TEE YONG,1977.0,male,chinese
3497,ER TECK HWA,1973.0,male,chinese
3498,RAZALI BIN HAJI IBRAHIM,1971.0,male,bumiputera
3501,NORAINI BINTI AHMAD,1967.0,female,bumiputera
3502,WEE KA SIONG,1968.0,male,chinese
3505,MOHAMAD BIN HAJI AZIZ,1941.0,male,bumiputera
3506,MOHD PUAD BIN ZARKASHI,1958.0,male,bumiputera
3507,LIANG TECK MENG,1972.0,male,chinese
3509,HOU KOK CHUNG,1963.0,male,chinese
3510,HISHAMMUDDIN BIN TUN HUSSEIN,1961.0,male,bumiputera
3512,ABDUL LATIFF BIN AHMAD,1959.0,male,bumiputera
3515,HALIMAH BINTI MOHAMED SADIQUE,1962.0,female,bumiputera
3516,SYED HAMID BIN SYED JAAFAR ALBAR,1944.0,male,bumiputera
3518,AZALINA BINTI DATO' OTHMAN SAID,1964.0,female,bumiputera
3520,TENG BOON SOON,1942.0,male,chinese
3522,SHAHRIR BIN ABDUL SAMAD,1950.0,male,bumiputera
3524,NUR JAZLAN BIN TAN SRI MOHAMED,1966.0,male,bumiputera
3527,AHMAD BIN HAJI MASLAN,1966.0,male,bumiputera
3529,WEE JECK SENG,1964.0,male,chinese
3530,YUSSOF BIN HAJI MAHAL,1958.0,male,bumiputera
3533,ABD RAHIM BIN BAKRI,1961.0,male,bumiputera
3537,JOHNITY @ MAXIMUS BIN ONGKILI,1954.0,male,bumiputera
3538,ABDUL RAHMAN BIN HAJI DAHLAN,1966.0,male,bumiputera
3541,WILFRED MOJILIP BUMBURING,1952.0,male,bumiputera
3544,ENCHIN BIN MAJIMBUN @ ERIC,1950.0,male,bumiputera
3547,MAKIN @ MARCUS MOJIGOH,1953.0,male,bumiputera
3554,ROSNAH BINTI HAJI ABDUL RASHID SHIRLIN,1973.0,female,bumiputera
3558,ANIFAH BIN HAJI AMAN,1954.0,male,bumiputera
3562,LAJIM BIN HAJI UKIN,1956.0,male,bumiputera
3563,SAPAWI BIN HAJI AMAT WASALI @ AHMAD,1955.0,male,bumiputera
3565,SIRINGAN BIN GUBAT,1950.0,male,bumiputera
3566,JONATHAN BIN YASIN,1967.0,male,bumiputera
3572,RAIME BIN UNGGI,1970.0,male,bumiputera
3573,JOSEPH KURUP,1945.0,male,bumiputera
3581,LIEW VUI KEONG,1960.0,male,chinese
3583,SALLEH BIN KALBI,1965.0,male,bumiputera
3585,MOHD. SHAFIE BIN HAJI APDAL,1957.0,male,bumiputera
3587,CHAN FOONG HIN,1979.0,male,chinese
3591,TEKHEE @TIKI ANAK LAFE,1953.0,male,bumiputera
3598,SULAIMAN ABDUL RAHMAN TAIB,1969.0,male,bumiputera
3599,JAMES DAWOS MAMIT,1949.0,male,bumiputera
3603,NANCY BINTI HAJI SHUKRI,1961.0,female,bumiputera
3607,MASIR ANAK KUJAT,1955.0,male,bumiputera
3609,WILLIAM @ NYALLAU ANAK BADAK,1951.0,male,bumiputera
3610,JELAING ANAK MERSAT,1949.0,male,bumiputera
3612,NORAH BINTI ABDUL RAHMAN,1960.0,female,bumiputera
3613,ABDUL WAHAB BIN HAJI DOLAH,1951.0,male,bumiputera
3615,DING KUONG HIING,1955.0,male,chinese
3622,TIONG KING SING,1961.0,male,chinese
3624,AHMAD LAI BIN BUJANG,1950.0,male,bumiputera
3625,MICHAEL TEO YU KENG,1948.0,male,chinese
3627,HASBI BIN HAJI HABIBOLLAH,1963.0,male,bumiputera
3630,ZAHIDI BIN ZAINUL ABIDIN,1961.0,male,bumiputera
3633,SHAHARUDDIN BIN ISMAIL,1967.0,male,bumiputera
3635,NAWAWI BIN AHMAD,1961.0,male,bumiputera
3638,OTHMAN BIN AZIZ,1959.0,male,bumiputera
3641,MAHDZIR BIN KHALID,1961.0,male,bumiputera
3646,JAMIL KHIR BIN BAHAROM (B),1962.0,male,bumiputera
3647,MANSOR BIN ABDUL RAHMAN,1961.0,male,bumiputera
3648,ISMAIL BIN DAUT,1956.0,male,bumiputera
3649,NOR AZRINA BINTI SURIP,1975.0,female,bumiputera
3656,N. SURENDRAN A/L NAGARAJAN,1967.0,male,indian
3659,IZANI BIN HUSIN,1963.0,male,bumiputera
3661,TAKIYUDDIN BIN HASSAN,1961.0,male,bumiputera
3663,NIK MOHAMAD ABDUH BIN NIK ABDUL AZIZ,1970.0,male,bumiputera
3665,AHMAD BAIHAKI BIN ATIQULLAH,1974.0,male,bumiputera
3667,AHMAD MARZUK BIN SHAARY,1976.0,male,bumiputera
3670,IKMAL HISHAM BIN ABDUL AZIZ,1965.0,male,bumiputera
3672,NIK MAZIAN BIN NIK MOHAMAD,1959.0,male,bumiputera
3673,AHMAD JAZLAN BIN YAAKUB,1965.0,male,bumiputera
3676,IDRIS BIN JUSOH,1956.0,male,bumiputera
3678,CHE MOHAMAD ZULKIFLY BIN JUSOH,1959.0,male,bumiputera
3680,MOHD KHAIRUDDIN BIN AMAN RAZALI,1974.0,male,bumiputera
3682,RAJA KAMARUL BAHRIN SHAH BIN RAJA AHMAD,1955.0,male,bumiputera
3684,JAILANI BIN JOHARI,1966.0,male,bumiputera
3686,WAN HASSAN BIN MOHD RAMLI,1957.0,male,bumiputera
3689,REEZAL MERICAN BIN NAINA MERICAN,1973.0,male,bumiputera
3692,SHABUDIN BIN YAHAYA,1966.0,male,bumiputera
3699,SIM CHEE KEONG,1982.0,male,chinese
3701,KASTHURIRAANI A/P PATTO,1980.0,female,indian
3705,MANSOR BIN OTHMAN,1950.0,male,bumiputera
3706,ZAIRIL KHIR JOHARI,1983.0,male,bumiputera
3708,NG WEI AIK,1978.0,male,chinese
3712,SIM TZE TZIN,1976.0,male,chinese
3714,HILMI BIN YAHAYA,1949.0,male,bumiputera
3715,MUHAMMAD BAKHTIAR BIN WAN CHIK,1965.0,male,bumiputera
3717,HASBULLAH BIN OSMAN,1957.0,male,bumiputera
3724,NOOR AZMI BIN GHAZALI,1962.0,male,bumiputera
3730,SU KEONG SIONG,1967.0,male,chinese
3733,SIVAKUMAR A/L VARATHARAJU NAIDU,1971.0,male,indian
3736,WAN MOHAMMAD KHAIR-IL ANUAR WAN AHMAD,1960.0,male,bumiputera
3738,MOHD ZAIM BIN ABU HASAN,1951.0,male,bumiputera
3740,KO CHUNG SEN,1969.0,male,chinese
3745,MOHAMAD IMRAN BIN ABDUL HAMID (B),1955.0,male,bumiputera
3746,SEAH LEONG PENG,1967.0,male,chinese
3752,ABDUL RAHMAN BIN HAJI MOHAMAD,1962.0,male,bumiputera
3754,MOHD ARIFF SABRI BIN ABDUL AZIZ,1957.0,male,bumiputera
3756,AHMAD NAZLAN BIN IDRIS,1958.0,male,bumiputera
3763,WONG TACK,1959.0,male,chinese
3768,MOHD FASIAH BIN MOHD FAKEH,1956.0,male,bumiputera
3770,SANTHARA KUMAR A/L RAMANAIDU,1971.0,male,indian
3772,P. KAMALANATHAN A/L P. PANCHANATHAN,1966.0,male,indian
3775,IRMOHIZAM BIN HAJI IBRAHIM,1976.0,male,bumiputera
3779,MOHD RAFIZI BIN RAMLI,1977.0,male,bumiputera
3783,ONG KIAN MING,1976.0,male,chinese
3786,WONG CHEN,1969.0,male,chinese
3798,MANIVANNAN A/L GOWINDASAMY,1975.0,male,indian
3815,AHMAD FAUZI BIN ZAHARI,1964.0,male,bumiputera
3816,JOHARI BIN ABDUL GHANI,1964.0,male,bumiputera
3827,ZAINUDIN BIN ISMAIL,1960.0,male,bumiputera
3830,MOHD ISA BIN ABDUL SAMAD,1950.0,male,bumiputera
3835,TEO KOK SEONG,1980.0,male,chinese
3840,MAS ERMIEYATI BINTI HAJI SAMSUDIN,1976.0,female,bumiputera
3844,ABU BAKAR BIN MOHAMAD DIAH,1959.0,male,bumiputera
3849,ANUAR BIN ABD. MANAP,1977.0,male,bumiputera
3856,AB. AZIZ BIN KAPRAWI,1960.0,male,bumiputera
3857,MOHD IDRIS BIN JUSI,1945.0,male,bumiputera
3859,ONN BIN ABU BAKAR,1963.0,male,bumiputera
3862,NOOR EHSANUDDIN MOHD HARUN NARRASHID,1964.0,male,bumiputera
3865,STEVEN CHOONG SHIAU YOON,1958.0,male,chinese
3866,KHOO SOO SEANG,1945.0,male,chinese
3868,NORMALA BINTI ABDUL SAMAD,1963.0,female,bumiputera
3875,ROZMAN BIN DATUK HAJI ISLI,1965.0,male,bumiputera
3882,ISNARAISSAH MUNIRAH BT MAJILIS @ FAKHARUDY,1982.0,female,bumiputera
3888,MADIUS BIN TANGAU,1958.0,male,bumiputera
3892,JUMAT HAJI IDRIS,1958.0,male,bumiputera
3894,WONG SZE PHIN @ JIMMY,1950.0,male,chinese
3898,IGNATIUS DORELL LEIKING,1971.0,male,bumiputera
3903,AZIZAH BINTI DATUK SERI PANGLIMA HAJI MOHD DUN,1955.0,female,bumiputera
3907,EWON EBIN,1955.0,male,bumiputera
3922,LINDA TSEN THAU LIN,1956.0,female,chinese
3924,WONG TIEN FATT @ WONG NYUK FOH,1955.0,male,chinese
3928,DATU NASRUN BIN DATU MANSUR,1953.0,male,bumiputera
3932,MARY YAP KAIN CHING @ YAP KEN JIN,1951.0,female,chinese
3939,NOGEH ANAK GUMBEK,1957.0,male,bumiputera
3940,MORDI BIMOL,1985.0,male,bumiputera
3945,JULIAN TAN KOK PING,1979.0,male,chinese
3947,RUBIAH BINTI HAJI WANG,1968.0,female,bumiputera
3949,WILLIE ANAK MONGIN,1975.0,male,bumiputera
3956,LARRY SOON @ LARRY SNG WEI SHIEN,1979.0,male,chinese
3958,ALI ANAK BIJU,1968.0,male,bumiputera
3962,WONG LING BIU,1959.0,male,chinese
3967,ALICE LAU KIONG YIENG,1981.0,female,chinese
3969,OSCAR LING CHAI YEW,1977.0,male,chinese
3974,WILSON UGAK ANAK KUMBONG,1962.0,male,bumiputera
3978,ANYI NGAU,1958.0,male,bumiputera
3981,BARU BIAN,1958.0,male,bumiputera
3986,NOOR AMIN BIN AHMAD,1982.0,male,bumiputera
3992,AMIRUDDIN BIN HAJI HAMZAH,1962.0,male,bumiputera
4000,CHAN MING KAI,1981.0,male,bumiputera
4003,AWANG BIN HASHIM,1964.0,male,bumiputera
4006,SABRI BIN AZIT,1966.0,male,bumiputera
4008,AHMAD TARMIZI BIN SULAIMAN,1976.0,male,bumiputera
4016,KARUPAIYA A/L MUTUSAMI,1953.0,male,indian
4022,CHE ABDULLAH BIN MAT NAWI,1961.0,male,bumiputera
4027,AHMAD FADHLI BIN SHAARI,1980.0,male,bumiputera
4031,IBHARIM BIN TUAN MAN,1960.0,male,bumiputera
4037,NIK MUHAMMAD ZAWAWI BIN HAJI SALLEH,1967.0,male,bumiputera
4043,ABDUL LATIFF BIN ABDUL RAHMAN,1971.0,male,bumiputera
4048,SHAHARIZUKIRNAIN BIN ABD KADIR,1969.0,male,bumiputera
4052,AHMAD AMZAD BIN MOHAMED @ HASHIM,1970.0,male,bumiputera
4057,ROSOL BIN WAHID,1964.0,male,bumiputera
4059,CHE ALIAS BIN HAMID,1967.0,male,bumiputera
4072,WONG HON WAI,1973.0,male,chinese
4077,SANISVARA NETHAJI RAYER A/L RAJAJI,1971.0,male,indian
4080,RAMKARPAL SINGH A/L KARPAL SINGH,1976.0,male,other
4095,SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL,1960.0,male,bumiputera
4099,TEH KOK LIM,1970.0,male,chinese
4102,KESAVAN A/L SUBRAMANIAM,1972.0,male,indian
4104,AHMAD FAIZAL BIN AZUMU,1971.0,male,bumiputera
4105,WONG KAH WOH,1980.0,male,chinese
4109,MASTURA BINTI TAN SRI DATO' MOHD YAZID,1962.0,female,bumiputera
4126,CHANG LIH KANG,1980.0,male,chinese
4128,SIVARRAAJH CHANDRAN,1976.0,male,indian
4133,ZULPURI SHAH BIN RAJA PUJI,1965.0,male,bumiputera
4140,MOHD SHAHAR BIN ABDULLAH,1980.0,male,bumiputera
4152,MOHD. ANUAR MOHD. TAHIR,1953.0,male,bumiputera
4157,HASAN BIN ARIFIN,1953.0,male,bumiputera
4160,MUSLIMIN BIN YAHAYA,1967.0,male,bumiputera
4161,BUDIMAN BIN MOHD ZOHDI,1972.0,male,bumiputera
4163,JUNE LEOW HSIAD HUI,1965.0,female,chinese
4177,HASANUDDIN BIN MOHD YUNUS,1965.0,male,bumiputera
4186,MARIA CHIN BINTI ABDULLAH,1957.0,female,bumiputera
4200,XAVIER JAYAKUMAR A/L ARULANANDAM,1953.0,male,indian
4207,PRABAKARAN A/L M PARAMESWARAN,1996.0,male,indian
4212,HANNAH YEOH TSEOW SUAN,1979.0,female,chinese
4213,NIK NAZMI BIN NIK AHMAD,1982.0,male,bumiputera
4215,RINA BINTI MOHD HARUN,1973.0,female,bumiputera
4219,AHMAD FAHMI BIN MOHAMED FADZIL,1981.0,male,bumiputera
4227,JALALUDDIN BIN ALIAS,1963.0,male,bumiputera
4230,MOHD SALIM SHARIF,1965.0,male,bumiputera
4234,EDDIN SYAZLEE BIN SHITH,1974.0,male,bumiputera
4238,CHA KEE CHIN,1974.0,male,chinese
4241,DANYAL BALAGOPAL ABDULLAH,1951.0,male,indian
4242,HASAN BIN BAHROM,1956.0,male,bumiputera
4247,MOHD REDZUAN BIN MD. YUSOF,1957.0,male,bumiputera
4248,RUSNAH BINTI ALUAI,1962.0,female,bumiputera
4252,KHOO POAY TIONG,1971.0,male,chinese
4257,NATRAH ISMAIL,1951.0,female,bumiputera
4261,SYED IBRAHIM BIN SYED NOH,1964.0,male,bumiputera
4263,YEO BEE YIN,1983.0,female,chinese
4266,SYED SADDIQ BIN SYED ABDUL RAHMAN,1993.0,male,bumiputera
4270,SHARUDDIN BIN MD SALLEH,1956.0,male,bumiputera
4273,MOHD RASHID HASNON,1960.0,male,bumiputera
4276,MASZLEE BIN MALIK,1975.0,male,bumiputera
4278,WONG SHU QI,1983.0,female,bumiputera
4284,ADHAM BIN BABA,1963.0,male,bumiputera
4289,AKMAL NASRULLAH BIN MOHD NASIR,1986.0,male,bumiputera
4298,MOHD FARID MOHD RAFIK,1977.0,male,bumiputera
4314,MOHD AZIS BIN JAMMAN,1975.0,male,bumiputera
4317,AWANG HUSAINI BIN SAHARI,1967.0,male,bumiputera
4322,AHMAD BIN HASSAN,1961.0,male,bumiputera
4325,YAMANI HAFEZ BIN MUSA,1978.0,male,bumiputera
4336,NOORITA BINTI SUAL,1980.0,female,bumiputera
4340,ARTHUR JOSEPH KURUP,1982.0,male,bumiputera
4347,ZAKARIA BIN MOHD. EDRIS,1951.0,male,bumiputera
4360,MA'MUN BIN SULAIMAN,1965.0,male,bumiputera
4367,KELVIN YII LEE WUEN,1986.0,male,chinese
4379,TAMBAT@ JUGAH ANAK MUYANG,1964.0,male,bumiputera
4383,ROBERT LAWSON CHUAT,1959.0,male,bumiputera
4385,YUSUF BIN ABD WAHAB,1964.0,male,bumiputera
