author_id,vol,author,birth_year,sex,ethnicity,party,negeri,area,kod_kawasan,exec_posts,service_posts,start_date,end_date
3875,13,ROZMAN BIN DATUK HAJI ISLI,1965,male,bumiputera,BN - UMNO,WP Labuan,Labuan,P166,,,2013-05-05,2018-04-07
3875,14,ROZMAN BIN DATUK HAJI ISLI,1965,male,bumiputera,BN - UMNO,Labuan,LABUAN,P166,,,2018-05-09,2018-10-11
3875,14,ROZMAN BIN DATUK HAJI ISLI,1965,male,bumiputera,WARISAN,Labuan,LABUAN,P166,,,2018-10-11,2022-10-10
3882,14,ISNARAISSAH MUNIRAH BT MAJILIS @ FAKHARUDY,1982,female,bumiputera,WARISAN,Sabah,KOTA BELUD,P169,,,2018-05-09,2022-10-10
3882,15,ISNARAISSAH MUNIRAH BT MAJILIS @ FAKHARUDY,1982,female,bumiputera,WARISAN,Sabah,Kota Belud,P169,,,2022-11-19,
3888,13,MADIUS BIN TANGAU,1958,male,bumiputera,BN - UPKO,Sabah,Tuaran,P170,"Menteri Sains, Teknologi dan Inovasi",,2013-05-05,2018-04-07
3888,14,MADIUS BIN TANGAU,1958,male,bumiputera,UPKO,Sabah,TUARAN,P170,,,2018-05-09,2022-10-10
3888,15,MADIUS BIN TANGAU,1958,male,bumiputera,PH,Sabah,Tuaran,P170,,,2022-11-19,
3892,13,JUMAT HAJI IDRIS,1958,male,bumiputera,BN - UMNO,Sabah,Sepanggar,P171,,,2013-05-05,2018-04-07
3894,13,WONG SZE PHIN @ JIMMY,1950,male,chinese,DAP,Sabah,Kota Kinabalu,P172,,,2013-05-05,2018-04-07
3898,13,IGNATIUS DORELL LEIKING,1971,male,bumiputera,PKR,Sabah,Penampang,P174,,,2013-05-05,2016-09-22
3898,13,IGNATIUS DORELL LEIKING,1971,male,bumiputera,BEBAS,Sabah,Penampang,P174,,,2016-09-22,2016-10-17
3898,13,IGNATIUS DORELL LEIKING,1971,male,bumiputera,WARISAN,Sabah,Penampang,P174,,,2016-10-17,2018-04-07
3898,14,IGNATIUS DORELL LEIKING,1971,male,bumiputera,WARISAN,Sabah,PENAMPANG,P174,,,2018-05-09,2022-10-10
3903,13,AZIZAH BINTI DATUK SERI PANGLIMA HAJI MOHD DUN,1955,female,bumiputera,BN - UMNO,Sabah,Beaufort,P177,"Timbalan Menteri Pembangunan Wanita, Keluarga dan Masyarakat",,2013-05-05,2018-04-07
3903,14,AZIZAH BINTI DATUK SERI PANGLIMA HAJI MOHD DUN,1955,female,bumiputera,BN - UMNO,Sabah,BEAUFORT,P177,,,2018-05-09,2018-12-12
3903,14,AZIZAH BINTI DATUK SERI PANGLIMA HAJI MOHD DUN,1955,female,bumiputera,BEBAS,Sabah,BEAUFORT,P177,,,2018-12-12,2019-03-14
3903,14,AZIZAH BINTI DATUK SERI PANGLIMA HAJI MOHD DUN,1955,female,bumiputera,BERSATU,Sabah,BEAUFORT,P177,,,2019-03-14,2022-10-10
3907,13,EWON EBIN,1955,male,bumiputera,BN - UPKO,Sabah,Ranau,P179,,,2013-05-05,2018-04-07
3922,12,LINDA TSEN THAU LIN,1956,female,chinese,BN - PBS,Sabah,Batu Sapi,P185,,,2010-11-04,2013-04-03
3922,13,LINDA TSEN THAU LIN,1956,female,chinese,BN - PBS,Sabah,Batu Sapi,P185,,,2013-05-05,2018-04-07
3924,13,WONG TIEN FATT @ WONG NYUK FOH,1955,male,chinese,DAP,Sabah,Sandakan,P186,,,2013-05-05,2018-04-07
